"Protein.Ids"	"First.Protein.Description"	"Protein.Names"	"Genes"	"Peptides"	"B1_1"	"B1_2"	"B1_3"	"B1_4"	"B2_1"	"B2_2"	"B2_3"	"B2_4"	"BD_2"	"BD_3"	"BD_4"	"BD_1"	"BDM_1"	"BDM_2"	"BDM_3"	"BDM_4"	"BM1_1"	"BM1_2"	"BM1_3"	"BM1_4"	"BM2_1"	"BM2_2"	"BM2_3"	"BM2_4"	"BT_1"	"BT_2"	"BT_3"	"BT_4"	"C_1"	"C_2"	"C_3"	"C_4"	"CM_1"	"CM_2"	"CM_3"	"CM_4"	"D_1"	"D_2"	"D_3"	"D_4"	"DM_1"	"DM_2"	"DM_3"	"DM_4"	"T_1"	"T_2"	"T_3"	"T_4"
"50"	"Q69YL0"	"Protein NCBP2AS2"	"NCAS2_HUMAN"	"NCBP2AS2"	2	NA	6.16100311279297	NA	NA	NA	NA	NA	6.91884136199951	7.00884962081909	7.07409524917603	6.97412490844727	7.43810319900513	NA	7.14555168151855	NA	6.77013111114502	NA	NA	3.83755779266357	6.25645160675049	5.60908317565918	6.23902368545532	6.29623460769653	NA	NA	NA	NA	7.39516925811768	NA	NA	NA	NA	NA	6.57629442214966	NA	NA	5.4953351020813	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.65535068511963	NA
"51"	"O75469"	"Nuclear receptor subfamily 1 group I member 2"	"NR1I2_HUMAN"	"NR1I2"	6	NA	6.46523475646973	NA	NA	6.10699558258057	NA	NA	NA	6.59280443191528	7.14826536178589	6.8868236541748	6.84088087081909	NA	NA	6.44161510467529	NA	NA	NA	NA	NA	NA	NA	6.75947952270508	NA	NA	NA	NA	NA	NA	NA	6.17608833312988	6.2593469619751	5.82847785949707	NA	NA	NA	NA	6.28360271453857	NA	6.97695350646973	NA	NA	NA	NA	NA	NA	NA	NA
"52"	"Q9NZQ7"	"Programmed cell death 1 ligand 1"	"PD1L1_HUMAN"	"CD274"	4	NA	NA	NA	NA	NA	NA	NA	NA	7.64790105819702	8.06757068634033	7.60787630081177	7.70620918273926	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.23842906951904	6.46833944320679	NA	6.45495653152466	NA	NA	NA	NA	NA	NA	NA	NA
"53"	"Q15198"	"Platelet-derived growth factor receptor-like protein"	"PGFRL_HUMAN"	"PDGFRL"	2	NA	NA	NA	NA	NA	NA	NA	5.77843379974365	6.14791679382324	6.69196224212646	6.59092283248901	6.36889553070068	7.15458154678345	NA	6.71285104751587	6.33860206604004	NA	NA	NA	NA	NA	5.48002338409424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.71475410461426	NA	NA	NA	NA	NA	NA	NA	NA	NA
"54"	"Q6ZVD8"	"PH domain leucine-rich repeat-containing protein phosphatase 2"	"PHLP2_HUMAN"	"PHLPP2"	5	NA	5.83321237564087	NA	NA	NA	NA	NA	6.35952234268188	5.9002742767334	6.48113584518433	4.52346229553223	NA	NA	NA	6.70870113372803	NA	6.31686449050903	5.10467052459717	NA	5.24950647354126	4.94373464584351	NA	6.38484811782837	NA	5.44167375564575	NA	NA	NA	NA	NA	5.45429134368896	NA	NA	NA	NA	NA	5.11568069458008	5.31689643859863	6.8409686088562	6.68766784667969	NA	NA	NA	5.57581901550293	NA	NA	6.01061534881592	NA
"55"	"Q13835"	"Plakophilin-1"	"PKP1_HUMAN"	"PKP1"	5	NA	NA	NA	NA	NA	NA	5.48752927780151	6.49230051040649	NA	6.77362537384033	NA	NA	NA	7.34636211395264	6.84167718887329	NA	NA	NA	NA	NA	6.07547283172607	6.30600833892822	NA	NA	6.72775316238403	6.97004842758179	7.36634635925293	7.76781415939331	7.14217376708984	6.51995420455933	NA	8.69837760925293	NA	NA	NA	NA	NA	NA	8.03881740570068	NA	NA	7.06594371795654	NA	6.35427570343018	NA	NA	NA	6.48259592056274
"56"	"Q9NQV6"	"PR domain zinc finger protein 10"	"PRD10_HUMAN"	"PRDM10"	4	NA	4.80779504776001	NA	NA	NA	NA	NA	NA	5.85058498382568	6.04406547546387	6.42753601074219	5.55335092544556	6.12256860733032	NA	NA	NA	NA	NA	4.76646852493286	NA	NA	NA	NA	NA	NA	NA	6.18028593063354	6.03047800064087	NA	NA	NA	NA	NA	6.7572546005249	NA	NA	6.51845073699951	NA	6.0676474571228	5.16849851608276	5.60881853103638	NA	NA	5.62949800491333	NA	NA	NA	NA
"57"	"P08575"	"Receptor-type tyrosine-protein phosphatase C"	"PTPRC_HUMAN"	"PTPRC"	8	NA	NA	NA	NA	6.90431690216064	6.97995567321777	7.39834213256836	NA	NA	7.03627681732178	6.73253726959229	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.44056844711304	NA	6.51195812225342	NA	NA	6.86326313018799	7.00994729995728	NA	6.48941564559937	6.58567571640015	6.74646472930908	6.60526418685913	NA	6.61893653869629	6.8137149810791	NA	6.87824440002441	6.67885589599609	NA	NA	NA	NA	NA	NA	NA	6.70503187179565	NA	NA
"58"	"Q16769"	"Glutaminyl-peptide cyclotransferase"	"QPCT_HUMAN"	"QPCT"	2	NA	NA	NA	NA	6.21043014526367	NA	NA	6.51826858520508	6.80228996276855	6.50040102005005	6.73395824432373	7.25926542282104	6.83132314682007	6.66293478012085	NA	NA	NA	NA	NA	NA	6.10249614715576	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.03304290771484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"59"	"Q8WXG1"	"S-adenosylmethionine-dependent nucleotide dehydratase RSAD2"	"RSAD2_HUMAN"	"RSAD2"	15	NA	NA	NA	NA	NA	NA	NA	NA	11.4003877639771	11.3702068328857	11.3009624481201	11.4124279022217	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.87348079681396	9.76115322113037	9.78911304473877	9.67006206512451	NA	NA	NA	NA	NA	NA	NA	NA
"60"	"Q8IY34"	"Solute carrier family 15 member 3"	"S15A3_HUMAN"	"SLC15A3"	6	NA	NA	NA	NA	NA	NA	NA	NA	9.47880744934082	9.38961696624756	9.39911079406738	9.5175313949585	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.76782035827637	7.96148920059204	8.05911064147949	7.90679883956909	NA	NA	NA	NA	NA	NA	5.10032081604004	NA
"61"	"Q8IVG5"	"Sterile alpha motif domain-containing protein 9-like"	"SAM9L_HUMAN"	"SAMD9L"	37	NA	NA	NA	NA	NA	NA	NA	NA	8.46463394165039	8.57580280303955	8.61063385009766	8.48889923095703	NA	NA	6.71493577957153	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.97336316108704	NA	NA	NA	4.79479646682739	NA	NA	7.74938726425171	7.47939109802246	7.16292905807495	7.42452478408813	NA	NA	NA	NA	NA	NA	NA	NA
"62"	"P0C6L3;P29996"	"Small delta antigen;Large delta antigen"	"SHDAG_HDVD3"	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	12.8983592987061	12.5838680267334	12.7930059432983	12.9344539642334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11.2021255493164	11.0650033950806	11.2114400863647	10.9414949417114	NA	NA	NA	NA	NA	NA	NA	NA
"63"	"Q6IEG0"	"U11/U12 small nuclear ribonucleoprotein 48 kDa protein"	"SNR48_HUMAN"	"SNRNP48"	4	NA	6.87650442123413	NA	5.28654861450195	6.21076583862305	NA	NA	NA	6.38609790802002	NA	NA	NA	NA	NA	NA	6.85832262039185	NA	6.13915157318115	6.55856609344482	NA	NA	NA	NA	NA	NA	NA	NA	6.16563367843628	6.59681844711304	NA	6.06246900558472	NA	NA	NA	NA	7.01220893859863	6.81338167190552	7.10229444503784	NA	NA	7.5342755317688	6.671067237854	6.946861743927	6.28932285308838	6.98012781143188	NA	NA	NA
"64"	"Q9HB58"	"Sp110 nuclear body protein"	"SP110_HUMAN"	"SP110"	10	NA	NA	NA	NA	NA	NA	NA	NA	8.90674781799316	8.69548606872559	8.42480373382568	8.59691333770752	NA	NA	6.11610746383667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.1387414932251	NA	NA	NA	5.98430395126343	NA	NA	NA	5.85427188873291	6.6376895904541	NA	7.54542779922485	7.650954246521	7.67293214797974	6.89356088638306	NA	NA	NA	NA	NA	5.75493764877319	NA	NA
"65"	"Q9UBI4"	"Stomatin-like protein 1"	"STML1_HUMAN"	"STOML1"	6	NA	NA	NA	NA	NA	NA	6.32250690460205	5.36895751953125	6.46950197219849	6.44287443161011	7.16274881362915	NA	7.11407613754272	6.77310180664063	6.61363410949707	7.47404336929321	NA	NA	NA	NA	6.46321678161621	6.49337863922119	6.19468975067139	6.81281185150146	NA	NA	6.66704702377319	NA	NA	NA	NA	NA	NA	7.04081869125366	NA	NA	NA	6.73491907119751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"66"	"O75558"	"Syntaxin-11"	"STX11_HUMAN"	"STX11"	7	6.75042247772217	NA	NA	NA	NA	NA	NA	6.7091703414917	7.47457790374756	6.71802520751953	7.36233854293823	7.71554946899414	6.98453330993652	NA	NA	6.82969331741333	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.31131601333618	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6.67297744750977	NA	7.09209632873535	NA	NA	NA	6.85205173492432	NA	NA	NA	NA
"67"	"Q8NFZ5"	"TNFAIP3-interacting protein 2"	"TNIP2_HUMAN"	"TNIP2"	5	6.26918840408325	NA	5.70900392532349	NA	NA	NA	NA	NA	NA	5.86555433273315	5.93622159957886	6.05246543884277	6.1963095664978	5.77479982376099	NA	6.41036748886108	NA	NA	NA	6.66078186035156	4.88626050949097	6.0834846496582	NA	NA	NA	NA	NA	NA	NA	NA	5.43866729736328	NA	5.02337312698364	6.02726650238037	NA	NA	6.50707960128784	NA	6.17979001998901	NA	5.8092794418335	NA	NA	NA	6.18217802047729	5.12871360778809	6.00399208068848	5.10598945617676
"68"	"Q13641"	"Trophoblast glycoprotein"	"TPBG_HUMAN"	"TPBG"	3	6.88737440109253	NA	NA	NA	6.05876874923706	NA	NA	5.07804918289185	NA	NA	6.27808856964111	NA	6.39631271362305	6.73455953598022	6.80745267868042	6.66869020462036	6.33967161178589	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.90373182296753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"69"	"Q9UMW8"	"Ubl carboxyl-terminal hydrolase 18"	"UBP18_HUMAN"	"USP18"	10	NA	NA	NA	NA	NA	NA	NA	5.18998193740845	11.8076028823853	11.8515214920044	11.9273643493652	11.7933464050293	6.44910764694214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.27695178985596	5.58657026290894	NA	NA	NA	5.82994365692139	NA	6.35617399215698	NA	NA	10.484354019165	10.7348175048828	10.7632179260254	10.7165002822876	NA	NA	NA	6.56581783294678	NA	NA	NA	NA
"70"	"Q8N567"	"Zinc finger CCHC domain-containing protein 9"	"ZCHC9_HUMAN"	"ZCCHC9"	2	NA	NA	NA	NA	NA	NA	8.03985023498535	NA	NA	NA	NA	NA	NA	7.65944385528564	NA	NA	NA	NA	7.59778451919556	NA	8.31041240692139	7.54049587249756	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.59789180755615	7.56311559677124	8.28246116638184	7.27365779876709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"71"	"Q9Y2D9"	"Zinc finger protein 652"	"ZN652_HUMAN"	"ZNF652"	4	NA	NA	NA	NA	5.44743251800537	4.93707799911499	5.35146427154541	5.75762510299683	NA	NA	NA	NA	NA	4.57296514511108	4.74256706237793	NA	NA	NA	5.52236080169678	NA	6.34942436218262	4.72618103027344	NA	NA	5.63735818862915	NA	NA	NA	NA	5.44933462142944	5.2581901550293	5.31622838973999	5.16380167007446	NA	5.28438282012939	NA	NA	6.71758031845093	4.89648675918579	NA	NA	NA	NA	6.05835676193237	NA	NA	NA	NA
