Significant	-Log(P-value)	Difference	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Symbol color	Symbol type	Symbol size	Show label	B_1	B_2	B_3	B_4	BM_1	BM_2	BM_3	BM_4	C_1	C_2	C_3	C_4	CM_1	CM_2	CM_3	CM_4
	0.0114992938926097	0.0138895511627197	P03146;P0C573	P03146;P0C573	CAPSD_HBVD3;HBEAG_HBVD3	C	Capsid protein	Color2 [DarkGray]	1	4		21.919563293457	21.5671844482422	21.7598342895508	21.3741512298584	14.4870758056641	12.7960567474365	14.3774061203003	13.7804679870605	13.0830097198486	13.6922607421875	14.6148958206177	14.6400938034058	13.569411277771	14.0330181121826	14.2448768615723	14.1273956298828
+	3.03256500890858	-0.818344116210938	P03952	P03952;E9PBC5;H0YAC1	KLKB1_HUMAN	KLKB1	Plasma kallikrein	Color2 [DarkGray]	1	4		21.5051460266113	21.4089298248291	21.475227355957	21.4412536621094	21.6063461303711	21.9556655883789	22.5458736419678	22.2718524932861	20.5038757324219	20.312952041626	20.4071922302246	20.5025272369385	20.9922943115234	21.100435256958	21.3455791473389	21.5616149902344
+	2.93755943615195	-0.686256408691406	P04003	P04003;F2Z2V7;A6PVY5	C4BPA_HUMAN	C4BPA	C4b-binding protein alpha chain	Color2 [DarkGray]	1	4		19.7565326690674	19.7189750671387	19.6550712585449	19.5568943023682	19.2948951721191	19.4286994934082	19.6611557006836	19.5795383453369	18.5644397735596	18.8318920135498	18.5895881652832	18.645191192627	19.2101097106934	19.1304969787598	19.5325832366943	19.5029468536377
+	3.61248737860919	-0.840782642364502	P04004	P04004	VTNC_HUMAN	VTN	Vitronectin	Color2 [DarkGray]	1	4		23.2531337738037	23.1608371734619	23.2500305175781	22.9954280853271	22.6694145202637	23.1958847045898	23.1624660491943	23.0702133178711	21.8824596405029	22.1460914611816	21.9593887329102	21.8754901885986	22.6761703491211	22.6330413818359	22.9747791290283	22.942569732666
	1.11686464579027	0.296230316162109	P04040	CATA_HUMAN;P04040	CATA_HUMAN	CAT	Catalase	Color2 [DarkGray]	1	4		19.7839469909668	19.241231918335	19.3470783233643	19.8707485198975	19.2529792785645	19.0063610076904	19.8627319335938	19.4949970245361	20.1455688476563	20.073917388916	20.0602836608887	20.0155792236328	19.6415596008301	20.0162181854248	19.9918785095215	19.4607715606689
	0.686502415643052	-0.102545261383057	P04066	P04066	FUCO_HUMAN	FUCA1	Tissue alpha-L-fucosidase	Color2 [DarkGray]	1	4		18.0061836242676	17.5811786651611	17.5794124603271	18.1369113922119	17.3182773590088	17.3591918945313	17.7972183227539	17.4349536895752	18.0028915405273	18.231029510498	18.0019626617432	17.9756412506104	18.058572769165	18.1954917907715	18.2443027496338	18.1233386993408
	0.121684766049873	0.0596928596496582	P04075	ALDOA_RABIT;P04075;H3BR04;H3BMQ8;H3BQN4;H3BPS8;H3BU78;H3BUH7;J3KPS3	ALDOA_HUMAN	ALDOA	Fructose-bisphosphate aldolase A	Color2 [DarkGray]	1	4		17.8677425384521	17.7897624969482	17.5747852325439	18.1906394958496	17.4827842712402	17.5725517272949	18.4013423919678	18.1058883666992	18.5217685699463	18.5371265411377	18.7148056030273	18.4353046417236	18.6978435516357	18.7592926025391	18.5181694030762	17.9949283599854
	1.52156929167306	0.466866016387939	P04080	P04080	CYTB_HUMAN	CSTB	Cystatin-B	Color2 [DarkGray]	1	4		19.043924331665	18.1235256195068	18.2184448242188	19.0529708862305	18.5079879760742	18.0483436584473	19.0362682342529	18.750186920166	19.7392597198486	19.5599803924561	19.575231552124	19.7060642242432	19.3749160766602	19.4569129943848	19.1321754455566	18.7490673065186
+	2.01763144811253	-0.4471755027771	P04114	P04114	APOB_HUMAN	APOB	Apolipoprotein B-100	Color2 [DarkGray]	1	4		22.641077041626	22.4858703613281	22.4064350128174	22.3289966583252	22.090368270874	22.2057285308838	22.3268489837646	22.0639019012451	21.4221076965332	21.6571445465088	21.5312824249268	21.4798469543457	21.7332859039307	21.8495616912842	22.0877361297607	22.2084999084473
+	2.21807409396033	0.641468524932861	P04179	P04179;F5H4R2;F5GXZ9;G8JLJ2;F5H3C5;G5E9P6;F5GYZ5	SODM_HUMAN	SOD2	Superoxide dismutase [Mn], mitochondrial	Color2 [DarkGray]	1	4		23.5592346191406	22.7465991973877	23.0032978057861	23.5945491790771	22.5967769622803	22.0576229095459	23.036979675293	22.7671527862549	24.5426406860352	24.3719501495361	24.4242935180664	24.4883785247803	24.0355281829834	24.0342426300049	23.7934741973877	23.3981437683105
	0.483967256109121	-0.120571613311768	P04180	P04180;J3QSE5;I3L1Q6;J3QKT0	LCAT_HUMAN	LCAT	Phosphatidylcholine-sterol acyltransferase	Color2 [DarkGray]	1	4		17.8467273712158	18.0654468536377	17.8742618560791	17.8598384857178	17.7391204833984	17.9479446411133	17.8768348693848	17.8506813049316	17.8366050720215	17.7106323242188	17.4629096984863	17.7059421539307	17.5754661560059	17.7816734313965	17.8995628356934	17.9416732788086
+	2.87946630964241	-0.970457553863525	P04196	P04196	HRG_HUMAN	HRG	Histidine-rich glycoprotein	Color2 [DarkGray]	1	4		19.1472492218018	19.09446144104	18.9770793914795	18.7511882781982	18.7865123748779	19.2562103271484	19.8874015808105	19.2359504699707	17.4461460113525	17.3371868133545	17.604923248291	17.5878353118896	18.4684047698975	18.0981922149658	18.4151229858398	18.8762016296387
+	3.90649830049775	-0.847157001495361	P04217	P04217;M0R009	A1BG_HUMAN	A1BG	Alpha-1B-glycoprotein	Color2 [DarkGray]	1	4		25.2032737731934	24.8974952697754	24.8662548065186	24.8686065673828	25.325891494751	25.2021617889404	25.5835876464844	25.4403877258301	23.8257942199707	23.8923950195313	23.8888702392578	23.9025688171387	24.5130290985107	24.6193351745605	24.8438453674316	24.922046661377
	0.386153990809951	-0.485862731933594	P04259	P48668;P12035;P02538;P04259	K2C6B_HUMAN	KRT6B	Keratin, type II cytoskeletal 6B	Color2 [DarkGray]	1	4		18.8260917663574	18.2281131744385	19.0371284484863	18.4580097198486	20.6794109344482	19.0812435150146	18.9805660247803	21.3421535491943	18.4405002593994	17.5002899169922	17.8993396759033	18.3118724822998	17.4147758483887	18.0531578063965	18.8751125335693	19.7524070739746
+	1.81393705145052	-0.709105968475342	P04264	K2C1_HUMAN;P04259;P04264	K2C1_HUMAN	KRT1	Keratin, type II cytoskeletal 1	Color2 [DarkGray]	1	4		23.5722236633301	23.6757946014404	25.2337741851807	23.41969871521	24.9815998077393	23.5731716156006	24.0876178741455	25.1155471801758	23.3243522644043	23.968318939209	24.2039642333984	23.7240600585938	24.4264698028564	24.28733253479	24.7180442810059	24.6252727508545
	0.633596704297341	-0.224058628082275	P04275	P04275	VWF_HUMAN	VWF	von Willebrand factor	Color2 [DarkGray]	1	4		18.6712188720703	18.8659934997559	18.7239418029785	18.8780517578125	18.9700489044189	18.9318695068359	19.0622463226318	19.0808486938477	18.5884284973145	18.6895198822021	18.570442199707	18.7335720062256	18.377477645874	19.0443096160889	19.0239658355713	19.0324440002441
	0.795712131971071	-0.219713687896729	P04278	P04278;B0FWH6;I3L0M1;I3L2X4;I3L4B9;I3L1G4;B0FWH7;I3L1C1;A0A0C4DGN2;I3L1J1;I3L2F1;B4DYU0;I3L145;B0FWH5	SHBG_HUMAN	SHBG	Sex hormone-binding globulin	Color2 [DarkGray]	1	4		19.7106227874756	19.7422466278076	19.6760292053223	19.7655143737793	19.6129493713379	19.6530055999756	19.6150703430176	19.8354530334473	19.2213344573975	19.3808746337891	19.2670764923096	19.1419200897217	19.1295013427734	19.4441623687744	19.7219829559326	19.5944137573242
	0.85191704213443	0.201564311981201	P04350;P68371	P68371;P04350;M0QY37;M0QX14;M0QYM7;M0R0X0;M0R042;M0QY85;M0R278;M0R2T4;M0QZL7;M0R2D3	TBB4A_HUMAN;TBB4B_HUMAN	TUBB4A;TUBB4B	Tubulin beta-4A chain	Color2 [DarkGray]	1	4		17.9563827514648	17.5159778594971	17.7004051208496	17.9657897949219	17.0394229888916	17.0488815307617	17.5294075012207	17.3378925323486	17.9500598907471	18.099702835083	17.894214630127	18.0094890594482	17.959300994873	17.9704036712646	17.7068939208984	17.5106105804443
	0.471883098060539	0.151819705963135	P04406	P04406;E7EUT5	G3P_HUMAN	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	Color2 [DarkGray]	1	4		20.7263793945313	19.8872737884521	20.2481422424316	20.7444934844971	20.0708293914795	19.8762893676758	20.9628009796143	20.5688915252686	21.0421047210693	21.1328449249268	21.1405296325684	21.1536808013916	21.2216453552246	21.1528263092041	20.8981094360352	20.5893001556396
	0.665288799329467	0.206982612609863	P04424	P04424;A0A5F9ZHM8;A0A5F9ZHC6	ARLY_HUMAN	ASL	Argininosuccinate lyase	Color2 [DarkGray]	1	4		20.4399166107178	19.3722190856934	19.6565132141113	20.3337230682373	19.7437438964844	19.4239521026611	20.5479259490967	20.1636276245117	20.7555141448975	20.6677150726318	20.7107696533203	20.7403984069824	20.8043193817139	20.6713733673096	20.4450798034668	20.1256942749023
	0.407852640792248	0.609460353851318	P04632	P04632;K7EM73;U3KQE2;K7EIV0;A0A0C4DGQ5;K7ELJ7;A0A075B7C0	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1	Color2 [DarkGray]	1	4		16.3022174835205	13.0578546524048	13.5673913955688	14.1581935882568	13.4141607284546	12.0341091156006	15.9297466278076	13.4900360107422	16.6318588256836	16.3511505126953	16.7449131011963	15.3704528808594	16.7638092041016	16.4776782989502	14.2905416488647	15.1285047531128
+	1.90186137702008	0.501534461975098	P04792	P04792;A0A6Q8PGY2;A0A6Q8PH65;A0A6Q8PGK1;A0A6Q8PFE7;A0A6Q8PFK8;A0A6Q8PHJ6;A0A6Q8PHA6;A0A6Q8PF43	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	Color2 [DarkGray]	1	4		18.2762336730957	17.3557815551758	17.8989677429199	18.2800693511963	17.4715805053711	17.4603443145752	17.5583457946777	17.6634407043457	18.9454498291016	18.9498271942139	18.6363315582275	18.8477458953857	18.4245147705078	18.6288719177246	18.2688388824463	18.0509910583496
	0.0714761076876423	0.044987678527832	P05062	P05062;A0A3B3IS80;A0A087WXX2	ALDOB_HUMAN	ALDOB	Fructose-bisphosphate aldolase B	Color2 [DarkGray]	1	4		21.4759654998779	20.2644081115723	20.4128265380859	21.3925266265869	20.4271507263184	20.2259273529053	21.8477897644043	21.2217388153076	21.4451141357422	21.4070987701416	21.4688091278076	21.4713535308838	21.9456729888916	21.5668125152588	21.1827182769775	20.9172210693359
	0.121588885614126	0.0658683776855469	P05089	P05089;A0A5F9ZH78;A0A5F9ZGN6	ARGI1_HUMAN	ARG1	Arginase-1	Color2 [DarkGray]	1	4		21.0899829864502	19.7807025909424	20.0514831542969	20.9434299468994	20.2074337005615	19.8763122558594	21.3894195556641	20.9639797210693	21.197509765625	21.1234664916992	21.1069850921631	21.1391181945801	21.5292186737061	21.2539691925049	20.9183444976807	20.6020736694336
	1.28351210314412	0.55921459197998	P05091	P05091;O94788;F8VP50;H0YKL3;H0YMG7	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	Color2 [DarkGray]	1	4		19.19895362854	18.1734580993652	18.5075511932373	19.4160594940186	18.4654674530029	18.164966583252	19.7593021392822	18.9135265350342	20.0641193389893	19.9236183166504	20.1289310455322	20.1107730865479	19.7675704956055	19.947093963623	19.3413333892822	18.9345855712891
	1.23020387156461	-0.444600582122803	P05109	P05109	S10A8_HUMAN	S100A8	Protein S100-A8	Color2 [DarkGray]	1	4		16.4789142608643	16.3883991241455	16.5657024383545	16.1806468963623	16.9407157897949	16.053825378418	16.6942348480225	16.3610973358154	15.9358444213867	16.1462249755859	16.1956653594971	15.5829772949219	16.1489028930664	16.340726852417	16.3774528503418	16.7720317840576
+	2.4572028475354	-0.628057956695557	P05121	P05121	PAI1_HUMAN	SERPINE1	Plasminogen activator inhibitor 1	Color2 [DarkGray]	1	4		19.6261081695557	20.3653182983398	20.0036735534668	20.3355350494385	20.0334873199463	19.8744678497314	19.9501457214355	20.0296649932861	19.5074291229248	19.8161525726318	19.6842269897461	19.4533309936523	19.939697265625	20.3754501342773	20.4040355682373	20.2541885375977
+	2.21421410733624	-0.579809665679932	P05155	P05155;H9KV48;E9PGN7	IC1_HUMAN	SERPING1	Plasma protease C1 inhibitor	Color2 [DarkGray]	1	4		22.7121677398682	22.5233764648438	22.5885467529297	22.6041526794434	22.4147987365723	22.5189476013184	22.655143737793	22.6426887512207	21.4600505828857	21.6575679779053	21.5132579803467	21.4715366363525	21.8791084289551	21.876407623291	22.2898445129395	22.3762912750244
+	3.18621902643122	-0.505907535552979	P05156	P05156;G3XAM2;A0A2R8Y3M9;E7ETH0	CFAI_HUMAN	CFI	Complement factor I	Color2 [DarkGray]	1	4		19.7455043792725	19.8198642730713	19.7432518005371	19.6433067321777	19.4807090759277	19.5735645294189	19.747465133667	19.6113586425781	19.010139465332	19.028715133667	19.0493545532227	18.8933010101318	19.3443698883057	19.4286060333252	19.5798397064209	19.6523246765137
	0.921585703120409	-0.342728137969971	P05160	P05160;A0A3B3IS66	F13B_HUMAN	F13B	Coagulation factor XIII B chain	Color2 [DarkGray]	1	4		17.2020568847656	17.2823467254639	16.7562313079834	17.2021141052246	16.8975982666016	17.2159309387207	17.4796466827393	17.4498748779297	16.8048629760742	16.4847221374512	16.4307899475098	16.3092288970947	16.3902626037598	16.9112167358398	17.0481472015381	17.0508899688721
	0.196543011242741	0.132888793945313	P05165	P05165;A0A1B0GUX9;A0A1B0GWA1;A0A1B0GU58;A0A1B0GWI4	PCCA_HUMAN	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial	Color2 [DarkGray]	1	4		16.2991580963135	15.4077758789063	16.2851066589355	16.3946475982666	15.6272430419922	15.5124568939209	16.5162105560303	16.1231479644775	16.3613090515137	16.3033752441406	16.2170848846436	16.4900550842285	15.5915632247925	16.7029571533203	16.5734062194824	15.9723424911499
	0.940622898045023	0.161720752716064	P05362	P05362	ICAM1_HUMAN	ICAM1	Intercellular adhesion molecule 1	Color2 [DarkGray]	1	4		18.5883312225342	18.1985454559326	18.2744331359863	18.5729484558105	18.1656131744385	18.0169925689697	18.2346439361572	18.3985176086426	18.3659839630127	18.5683269500732	18.3491649627686	18.4668140411377	18.1586780548096	18.3589038848877	18.4345798492432	18.1512451171875
	0.0645259043924236	0.0492310523986816	P05386	P05386	RLA1_HUMAN	RPLP1	60S acidic ribosomal protein P1	Color2 [DarkGray]	1	4		16.9800834655762	16.2635726928711	16.1058464050293	16.8942966461182	15.9003667831421	15.7478227615356	17.1268043518066	16.6606636047363	17.274959564209	17.3290252685547	17.4811534881592	17.3576812744141	18.0200843811035	17.3878154754639	17.0669193267822	16.7710762023926
	0.517540256294139	1.1076807975769	P05387	P05387	RLA2_HUMAN	RPLP2	60S acidic ribosomal protein P2	Color2 [DarkGray]	1	4		16.7093524932861	14.1390495300293	16.7957229614258	16.7273082733154	12.9524354934692	14.5370922088623	16.8297481536865	13.6156702041626	17.0104084014893	17.327823638916	17.5097980499268	16.8590488433838	17.2261486053467	17.0198078155518	16.8745613098145	13.1558380126953
	0.21376756185824	0.375579833984375	P05388;Q8NHW5	Q8NHW5;P05388;F8VU65;F8VWS0;G3V210;F8VW21;F8VPE8	RLA0L_HUMAN;RLA0_HUMAN	RPLP0;RPLP0P6	60S acidic ribosomal protein P0	Color2 [DarkGray]	1	4		14.1740522384644	12.8388242721558	14.5675563812256	14.0112066268921	15.6305341720581	13.7788286209106	15.1190786361694	13.9701910018921	15.5600070953369	15.5299062728882	15.7028818130493	15.1142835617065	16.0112590789795	15.8821601867676	13.0655460357666	15.4457941055298
	1.48252347450551	-0.320082187652588	P05452	P05452;E9PHK0	TETN_HUMAN	CLEC3B	Tetranectin	Color2 [DarkGray]	1	4		20.7670726776123	20.9752140045166	20.7160472869873	21.2361907958984	20.7538166046143	20.7061634063721	20.7499370574951	20.8441333770752	20.4747581481934	20.5960788726807	20.4661388397217	20.2996101379395	20.5580539703369	20.6927947998047	21.0148220062256	20.8512439727783
	1.30070310825144	-0.236017227172852	P05543	P05543	THBG_HUMAN	SERPINA7	Thyroxine-binding globulin	Color2 [DarkGray]	1	4		22.0935821533203	21.9153232574463	22.0263214111328	22.0901832580566	22.060245513916	22.1437397003174	21.8711185455322	22.0589771270752	21.6355857849121	21.8129749298096	21.7616500854492	21.5657157897949	21.7064342498779	21.9422016143799	22.0179862976074	22.053373336792
+	2.44731197817595	-0.716161251068115	P05546	P05546	HEP2_HUMAN	SERPIND1	Heparin cofactor 2	Color2 [DarkGray]	1	4		21.0237617492676	20.9842967987061	20.9220371246338	20.8677673339844	20.9675025939941	20.8356552124023	21.0377025604248	21.0715751647949	19.9209651947021	19.9872360229492	19.8776893615723	19.7545185089111	20.3512153625488	20.3752708435059	20.7145309448242	20.9640369415283
	0.0331651198978806	0.0402565002441406	P05556	P05556;H7C4N8	ITB1_HUMAN	ITGB1	Integrin beta-1	Color2 [DarkGray]	1	4		14.7323369979858	15.0862150192261	14.6994590759277	15.4228963851929	14.7340745925903	15.2041358947754	14.9324035644531	15.3436336517334	13.6484251022339	15.0252132415771	14.7407665252686	14.9650716781616	14.7587957382202	13.8421239852905	15.1109199523926	14.5066108703613
	1.74623871623092	0.295541286468506	P05783	P05783;F8VZY9	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	Color2 [DarkGray]	1	4		19.0633678436279	18.4662799835205	18.812873840332	18.9478225708008	18.3593120574951	18.2744331359863	18.5298957824707	18.472282409668	19.2502746582031	19.2336158752441	19.2658100128174	19.2594413757324	18.9887008666992	19.1574478149414	18.9660797119141	18.7147483825684
	0.617726476038884	0.0729985237121582	P05787	P05787	K2C8_HUMAN	KRT8	Keratin, type II cytoskeletal 8	Color2 [DarkGray]	1	4		19.3119697570801	19.1039714813232	19.2311744689941	19.4240417480469	19.1779613494873	18.8822364807129	19.1073112487793	19.0687065124512	19.4561595916748	19.5223693847656	19.5533065795898	19.5150737762451	19.3811588287354	19.5848159790039	19.440803527832	19.3481369018555
+	2.2079216879444	-1.01443362236023	P06276	P06276;F8WEX7;F8WF14	CHLE_HUMAN	BCHE	Cholinesterase	Color2 [DarkGray]	1	4		16.1828022003174	15.9560718536377	16.2800140380859	16.0658435821533	16.2700119018555	16.1879081726074	16.5594234466553	16.4626884460449	14.8181829452515	15.1866016387939	15.0055723190308	14.3261556625366	15.6080932617188	15.5311412811279	16.1403350830078	16.1146774291992
+	2.31078488583271	-0.500195026397705	P06396	GELS_HUMAN;P06396;A0A0A0MS51;A0A0A0MT01	GELS_HUMAN	GSN	Gelsolin	Color2 [DarkGray]	1	4		21.1193866729736	21.4845409393311	21.3796291351318	21.3238906860352	21.1626319885254	21.3357410430908	21.4534130096436	21.2212142944336	20.6697998046875	20.7822723388672	20.7327194213867	20.5785980224609	20.8773326873779	21.3288345336914	21.321174621582	21.2368278503418
+	1.96529944242854	0.394894123077393	P06576	P06576;F8W079;H0YH81	ATPB_HUMAN	ATP5F1B	ATP synthase subunit beta, mitochondrial	Color2 [DarkGray]	1	4		18.112642288208	17.56298828125	17.9019927978516	18.2997303009033	17.7824802398682	17.6203269958496	18.5871620178223	17.9697685241699	18.7876529693604	18.866584777832	18.7753009796143	18.8559169769287	18.4566192626953	18.6764430999756	18.4130744934082	18.1597423553467
+	2.91041532140421	-0.770922183990479	P06681	P06681;H0Y868;E9PDZ0;A0A0G2JL69;B4DQI1;A0A0G2JK28	CO2_HUMAN	C2	Complement C2	Color2 [DarkGray]	1	4		18.0518417358398	17.927661895752	17.9243431091309	17.9684925079346	17.8706474304199	18.3659381866455	18.6337871551514	18.5459041595459	17.3807239532471	17.572582244873	17.1055297851563	17.4830760955811	17.9566421508789	18.0795364379883	18.2225914001465	18.3668308258057
	0.873935264409994	-0.39033031463623	P06702	P06702	S10A9_HUMAN	S100A9	Protein S100-A9	Color2 [DarkGray]	1	4		17.6909046173096	17.820951461792	17.4237651824951	17.7320022583008	18.1365203857422	17.4721584320068	18.1871337890625	17.7994976043701	17.5807514190674	17.298734664917	17.5832080841064	17.0735969543457	17.3462371826172	17.6347751617432	17.8818378448486	18.2347621917725
+	1.58083730334891	0.98695182800293	P06703	P06703;R4GN98	S10A6_HUMAN	S100A6	Protein S100-A6	Color2 [DarkGray]	1	4		13.6696281433105	15.9971704483032	16.7953796386719	17.5576438903809	13.6691312789917	15.9632778167725	15.5759057998657	13.2502117156982	17.7142524719238	17.1488838195801	17.4927291870117	16.8458080291748	16.4819564819336	15.9094686508179	17.024263381958	15.8381776809692
	0.0595524896971978	-0.0177493095397949	P06727	P06727	APOA4_HUMAN	APOA4	Apolipoprotein A-IV	Color2 [DarkGray]	1	4		18.8964214324951	19.1306552886963	19.0760879516602	19.2063865661621	19.3424739837646	18.8922882080078	18.6327476501465	19.1186275482178	19.1674900054932	19.2795257568359	19.3280963897705	19.1329441070557	19.0095748901367	19.1968479156494	19.4583702087402	19.3142604827881
	0.665025190399764	0.291587829589844	P06733	P06733;A0A2R8Y6G6	ENOA_HUMAN	ENO1	Alpha-enolase	Color2 [DarkGray]	1	4		20.6469879150391	19.7954196929932	19.8324489593506	20.8388061523438	20.0260353088379	19.6226921081543	20.9137058258057	20.4326972961426	21.3473281860352	21.3659324645996	21.25705909729	21.3735504150391	21.4446239471436	21.3065071105957	20.9098663330078	20.5165214538574
	0.488940669449798	0.196003913879395	P06737	P11216;P06737;P11217;E9PK47	PYGL_HUMAN	PYGL	Glycogen phosphorylase, liver form	Color2 [DarkGray]	1	4		17.8497047424316	17.0831680297852	17.1453456878662	17.8053035736084	17.0754680633545	17.0781517028809	18.0476245880127	17.512523651123	18.1743450164795	18.2883434295654	18.122220993042	18.2912254333496	18.4530296325684	18.1672458648682	17.8000602722168	17.6717834472656
	0.593949101393737	0.247295379638672	P06744	P06744;A0A0J9YXP8;A0A0J9YX90;A0A2U3TZU2;A0A2R8Y6C7;A0A0J9YYH3;K7EPY4;K7ENA0;K7EQ48	G6PI_HUMAN	GPI	Glucose-6-phosphate isomerase	Color2 [DarkGray]	1	4		18.8753414154053	17.7907943725586	17.9946632385254	18.836275100708	18.2670555114746	17.7193946838379	19.1877613067627	18.7597942352295	19.3717212677002	19.4405651092529	19.3487434387207	19.3725299835205	19.485818862915	19.4273471832275	18.9664630889893	18.6647491455078
	1.09782484339655	0.560223579406738	P06748	P06748;E5RGW4	NPM_HUMAN	NPM1	Nucleophosmin	Color2 [DarkGray]	1	4		16.7500915527344	15.2854452133179	15.4813261032104	16.8362483978271	14.058177947998	13.6867084503174	15.8995485305786	15.4587202072144	17.1330318450928	17.5917415618896	17.5942802429199	17.5218925476074	17.3033714294434	16.8158340454102	17.2315673828125	16.2492790222168
	1.0001290812397	0.342441082000732	P06753	P06753;A0A087WWU8;J3KN67;A0A494C0P6;A0A2R2Y2Q3	TPM3_HUMAN	TPM3	Tropomyosin alpha-3 chain	Color2 [DarkGray]	1	4		17.5657939910889	16.9114856719971	17.0328426361084	17.4048252105713	16.3416309356689	16.6485538482666	17.4512672424316	17.1858825683594	17.3279476165771	17.3713512420654	17.4077987670898	17.2856731414795	17.1189708709717	17.1827335357666	17.2334327697754	16.4878692626953
	0.0266129667650268	-0.00895404815673828	P06865	P06865;H3BP20;H3BU85;H3BS10;H3BTD4	HEXA_HUMAN	HEXA	Beta-hexosaminidase subunit alpha	Color2 [DarkGray]	1	4		17.1107578277588	16.5876789093018	16.6586990356445	16.9593334197998	16.086368560791	16.3400192260742	16.462610244751	16.6007175445557	16.8148956298828	17.1374912261963	16.9560813903809	16.8179836273193	16.9004535675049	16.8679790496826	17.1924171447754	16.8014183044434
	0.128728063540894	-0.0682559013366699	P07099	P07099	HYEP_HUMAN	EPHX1	Epoxide hydrolase 1	Color2 [DarkGray]	1	4		17.4728488922119	16.6247100830078	17.3943119049072	17.8319873809814	17.4329986572266	17.3190994262695	17.9787998199463	17.8857326507568	17.7696514129639	18.1742668151855	17.7265567779541	17.6557331085205	17.9167709350586	18.3484001159668	17.7045192718506	17.6295413970947
	1.35841153097035	0.256696224212646	P07108	P07108;A0A0A0MTI5;B8ZWD1	ACBP_HUMAN	DBI	Acyl-CoA-binding protein	Color2 [DarkGray]	1	4		19.2263832092285	17.9816398620605	18.5081729888916	19.1442394256592	18.089994430542	17.8303661346436	19.4606666564941	18.9110355377197	19.127290725708	19.3487319946289	19.1617870330811	19.2329502105713	19.0662307739258	19.0694675445557	19.0086441040039	18.6996326446533
	0.543326549201936	0.189795017242432	P07148	P07148;A8MW49	FABPL_HUMAN	FABP1	Fatty acid-binding protein, liver	Color2 [DarkGray]	1	4		24.5967845916748	23.359992980957	23.7102088928223	24.4746074676514	23.6948413848877	23.1528491973877	24.541145324707	24.2038078308105	24.7535839080811	24.7017631530762	24.7864513397217	24.7279319763184	24.9290103912354	24.6668796539307	24.4425182342529	24.1721420288086
+	2.52975600291424	-0.485281944274902	P07195	P07195;A8MW50;A0A3B3IS95;C9J7H8;A0A5F9ZHM4;F5H793	LDHB_HUMAN	LDHB	L-lactate dehydrogenase B chain	Color2 [DarkGray]	1	4		18.9110927581787	19.048168182373	18.9547481536865	19.1876487731934	18.9762229919434	19.0730571746826	19.0832710266113	19.0912227630615	18.5280342102051	18.8393516540527	18.5576133728027	18.4263458251953	18.9285068511963	19.1122817993164	19.1290130615234	19.1226711273193
+	1.39487399392726	-0.671000957489014	P07225	P07225;A0A3B3IRK9;G5E9F8;A0A3B3ISJ1;A0A0S2Z4L3	PROS_HUMAN	PROS1	Vitamin K-dependent protein S	Color2 [DarkGray]	1	4		19.7226123809814	19.3468265533447	19.4596328735352	19.6941699981689	19.4580001831055	19.7862205505371	19.1997013092041	19.5573043823242	18.2432384490967	18.5886459350586	18.9279479980469	18.5735988616943	19.2987384796143	18.642728805542	19.6463356018066	19.4296321868896
	1.40151403566924	0.278505802154541	P07237	P07237;I3L398;H7BZ94;H0Y3Z3	PDIA1_HUMAN	P4HB	Protein disulfide-isomerase	Color2 [DarkGray]	1	4		20.3808498382568	19.8064994812012	20.0389747619629	20.4589500427246	19.7181549072266	19.5490436553955	20.1619567871094	19.892822265625	20.8745670318604	20.7689151763916	20.9130554199219	20.8033561706543	20.6104602813721	20.7529449462891	20.6068515777588	20.27561378479
	0.798816157199481	-0.387269973754883	P07327	P07327	ADH1A_HUMAN	ADH1A	Alcohol dehydrogenase 1A	Color2 [DarkGray]	1	4		18.8141765594482	17.8857975006104	17.945369720459	18.9624729156494	18.772533416748	17.8399486541748	19.8880634307861	18.9224967956543	19.4993934631348	19.1387767791748	19.3386402130127	19.6303482055664	20.2378425598145	19.9962730407715	19.6862907409668	19.2358322143555
	0.96919639191811	0.16386079788208	P07339	CATD_HUMAN;P07339;A0A1B0GV23;A0A1B0GVP3;A0A1B0GWE8;A0A1B0GW44;H7C469;H7C1V0;A0A1B0GVD5	CATD_HUMAN	CTSD	Cathepsin D	Color2 [DarkGray]	1	4		20.8861293792725	20.523717880249	20.6428699493408	20.9102249145508	20.1731281280518	20.097204208374	20.4625091552734	20.4228363037109	20.881856918335	21.1175498962402	20.917308807373	20.8136253356934	20.6502170562744	20.7597618103027	20.9235324859619	20.7413864135742
