"First.Protein.Description","CTRL_2","CTRL_3","CTRL_4","CTRL.myr_1","CTRL.myr_2","CTRL.myr_3","CTRL.myr_4","HBV_1","HBV_2","HBV_3","HBV_4","HBV.myr_1","HBV.myr_2","HBV.myr_3","HBV.myr_4","Pval","adjPval","negLog10_sca_adjPval","HBV.myr_vs_HBV","Diff_Abund","Protein_Names","Genes","ProtDesc"
"S-phase kinase-associated protein 1",17.2401390075684,17.1998729705811,17.2399425506592,15.9742193222046,16.3896141052246,17.2793750762939,16.7865257263184,16.1125297546387,15.2713060379028,16.1026039123535,15.8481292724609,14.7942686080933,15.2511978149414,16.317892074585,16.3546314239502,0.740705439935977,0.993555423949802,0.00280790143369389,0.154144763946501,"Non-significant","SKP1_HUMAN","SKP1","S-phase kinase-associated protein 1"
"Beta-galactoside alpha-2,6-sialyltransferase 1",13.2861194610596,14.1461477279663,13.1193017959595,13.5363426208496,12.8992900848389,13.8755769729614,14.248854637146,14.0314083099365,11.4994869232178,14.0889387130737,14.5355758666992,13.8570432662964,14.0014696121216,14.5043287277222,14.2863912582397,0.436285638491655,0.986278956908265,0.00600023281587292,-0.623455762863173,"Non-significant","SIAT1_HUMAN","ST6GAL1","Beta-galactoside alpha-2,6-sialyltransferase 1"
"Sex hormone-binding globulin",18.1110286712646,18.5747737884521,18.4524459838867,18.6847381591797,18.5916290283203,18.0770301818848,18.5008106231689,18.560791015625,18.3596935272217,18.6107902526855,18.0459403991699,18.5715370178223,18.5747528076172,18.5742053985596,18.3178672790527,0.462052345680056,0.986278956908265,0.00600023281587292,-0.115286827087424,"Non-significant","SHBG_HUMAN","SHBG","Sex hormone-binding globulin"
"SH3 domain-binding glutamic acid-rich-like protein 3",16.1531066894531,16.6018180847168,16.6903247833252,16.0165100097656,14.2623844146729,16.2200584411621,13.2344484329224,13.3818426132202,16.1662483215332,15.6438789367676,13.2527904510498,15.999566078186,12.9961986541748,14.9377880096436,14.3238039016724,0.96352481453809,0.995579334537958,0.00192412671719819,0.0468509197235001,"Non-significant","SH3L3_HUMAN","SH3BGRL3","SH3 domain-binding glutamic acid-rich-like protein 3"
"Protein SETSIP",16.8107967376709,16.2689476013184,17.0476131439209,16.7746334075928,15.7365503311157,17.2063941955566,16.5021171569824,15.7191591262817,16.3665752410889,16.1694488525391,15.9300003051758,15.3313159942627,15.442985534668,15.7627553939819,16.3458080291748,0.278024731824396,0.944675274921581,0.0247174513270199,0.325579643249526,"Non-significant","SETLP_HUMAN;SET_HUMAN","SET;SETSIP","Protein SETSIP"
"Phosphoserine aminotransferase",17.8613471984863,17.5487308502197,17.8156337738037,16.5832653045654,17.1625289916992,17.8684177398682,17.7472095489502,16.2382488250732,16.158670425415,17.0960865020752,17.5712852478027,16.4363250732422,16.0960559844971,16.6808948516846,17.5802211761475,0.889449645104121,0.993555423949802,0.00280790143369389,0.0676984786986736,"Non-significant","SERC_HUMAN","PSAT1","Phosphoserine aminotransferase"
"Phosphoserine phosphatase",15.4709701538086,14.9179544448853,15.6648025512695,14.6255254745483,13.6389303207397,14.9767255783081,14.7717218399048,12.2264614105225,12.988486289978,14.5817594528198,13.4985990524292,12.8144865036011,14.6600179672241,13.8968915939331,13.9718132019043,0.445322499346237,0.986278956908265,0.00600023281587292,-0.511975765228275,"Non-significant","SERB_HUMAN","PSPH","Phosphoserine phosphatase"
"D-3-phosphoglycerate dehydrogenase",16.3951816558838,16.3292369842529,16.0946063995361,16.3820915222168,16.135627746582,16.5056991577148,16.4307041168213,15.6491184234619,16.2471466064453,16.2806568145752,12.1378269195557,16.0518817901611,15.678858757019,15.8654699325562,15.9920883178711,0.470076033120144,0.986278956908265,0.00600023281587292,-0.818387508392325,"Non-significant","SERA_HUMAN","PHGDH","D-3-phosphoglycerate dehydrogenase"
"Prolyl endopeptidase FAP",13.6799449920654,13.7075862884521,14.5777883529663,14.9056549072266,13.7503795623779,14.0176000595093,14.4085416793823,14.4847917556763,12.8719997406006,14.7153081893921,14.177547454834,14.7152271270752,13.550085067749,14.8097076416016,13.5009908676147,0.886092408020841,0.993555423949802,0.00280790143369389,-0.0815908908843745,"Non-significant","SEPR_HUMAN","FAP","Prolyl endopeptidase FAP"
"Selenoprotein P",18.5149021148682,18.2945175170898,18.3187198638916,18.6939086914063,18.8070964813232,18.9191513061523,18.6819515228271,18.4285640716553,18.7219066619873,18.6044330596924,19.0116634368896,18.488639831543,18.5431480407715,18.7279605865479,19.0811939239502,0.92174003119103,0.993555423949802,0.00280790143369389,-0.0185937881470011,"Non-significant","SEPP1_HUMAN","SELENOP","Selenoprotein P"
"Semaphorin-4B",18.2853698730469,18.4200057983398,17.9275531768799,18.4569110870361,18.3116188049316,18.1921672821045,18.0464000701904,18.1633605957031,18.3450450897217,18.416524887085,18.1430549621582,18.3584842681885,18.5203647613525,18.1815547943115,18.3354606628418,0.429206542788376,0.986278956908265,0.00600023281587292,-0.0819697380065776,"Non-significant","SEM4B_HUMAN","SEMA4B","Semaphorin-4B"
"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial",13.9987983703613,15.5427865982056,14.4373750686646,15.8415050506592,15.1697406768799,15.2365970611572,14.5047798156738,14.2493915557861,13.3227939605713,13.118070602417,15.4989595413208,13.8556470870972,12.7705879211426,13.4256963729858,14.652684211731,0.602069643393879,0.986278956908265,0.00600023281587292,0.37115001678465,"Non-significant","SDHB_HUMAN","SDHB","Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial"
"Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial",14.1632804870605,13.84228515625,13.5534372329712,13.4582576751709,13.7857046127319,13.0773668289185,13.5649738311768,14.3227243423462,12.7651538848877,11.7727613449097,12.5470838546753,13.1296586990356,14.1324520111084,12.6412334442139,12.8702945709229,0.609703393670192,0.986278956908265,0.00600023281587292,-0.341478824615473,"Non-significant","SDHA_HUMAN","SDHA","Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"Syndecan-4",18.9563846588135,19.1136093139648,18.9179458618164,19.2063579559326,18.9653701782227,18.8933200836182,18.7675285339355,18.827615737915,18.7874050140381,18.7775821685791,18.9771595001221,18.8237781524658,18.5910873413086,18.8453826904297,18.9813823699951,0.745819783740675,0.993555423949802,0.00280790143369389,0.0320329666137731,"Non-significant","SDC4_HUMAN","SDC4","Syndecan-4"
"Syndecan-1",19.9010772705078,20.1970405578613,19.8314056396484,20.005334854126,20.1359596252441,19.6763134002686,19.8786354064941,19.9938831329346,20.0592555999756,20.1050930023193,20.3464946746826,19.9681491851807,19.8209571838379,19.6491355895996,19.982759475708,0.0480418650660352,0.536692356245432,0.270274590038229,0.270931243896474,"Non-significant","SDC1_HUMAN","SDC1","Syndecan-1"
"Methanethiol oxidase",20.2091732025146,19.9243659973145,20.1732139587402,19.538516998291,19.6834545135498,20.518367767334,20.1473712921143,18.9904022216797,18.6180477142334,19.6452693939209,20.05100440979,18.8662700653076,19.1400165557861,19.7735633850098,20.6069602966309,0.610632343589863,0.986278956908265,0.00600023281587292,-0.270521640777602,"Non-significant","SBP1_HUMAN","SELENBP1","Methanethiol oxidase"
"Protein strawberry notch homolog 1",15.9578638076782,14.0904264450073,16.5481147766113,15.9807224273682,17.5766830444336,17.1433143615723,17.019905090332,13.9407005310059,15.6076135635376,16.3838768005371,17.6873207092285,17.1250190734863,16.7076416015625,14.7782564163208,17.0944900512695,0.608950773580541,0.986278956908265,0.00600023281587292,-0.521473884582502,"Non-significant","SBNO1_HUMAN","SBNO1","Protein strawberry notch homolog 1"
"GTP-binding protein SAR1a",16.5261707305908,16.2043991088867,16.4540252685547,16.6405696868896,15.9676990509033,16.4030952453613,16.3237915039063,15.612678527832,15.5398254394531,15.4161806106567,16.0787620544434,15.8688535690308,14.5348739624023,15.6046924591064,16.0690860748291,0.720325222264085,0.993555423949802,0.00280790143369389,0.142485141754149,"Non-significant","SAR1A_HUMAN;SAR1B_HUMAN","SAR1A;SAR1B","GTP-binding protein SAR1a"
"Ganglioside GM2 activator",16.5512733459473,16.5634346008301,16.2727470397949,15.4709386825562,16.3269653320313,16.3587894439697,16.2158527374268,15.5883197784424,15.812385559082,16.0437278747559,16.0723686218262,15.2964935302734,15.0490102767944,14.9622268676758,15.5187482833862,0.00749318592984958,0.232989449349245,0.632663745038998,0.672580718994176,"Non-significant","SAP3_HUMAN","GM2A","Ganglioside GM2 activator"
"Prosaposin",20.1999797821045,20.1633319854736,20.2629070281982,19.8968563079834,20.0143928527832,20.0358104705811,20.0898017883301,19.6814002990723,19.5923347473145,19.7606258392334,20.0406875610352,19.2123012542725,19.2054233551025,19.2404251098633,19.4398307800293,0.0076310941428284,0.232989449349245,0.632663745038998,0.494266986846949,"Non-significant","SAP_HUMAN","PSAP","Prosaposin"
"Serum amyloid P-component",18.3079433441162,18.0955410003662,18.0373859405518,18.373405456543,18.4918537139893,18.3136501312256,18.2923164367676,18.0794067382813,18.0033912658691,17.9833889007568,18.1307067871094,17.9562454223633,17.8472156524658,18.0840454101563,18.4916572570801,0.771787328430628,0.993555423949802,0.00280790143369389,-0.0455675125122248,"Non-significant","SAMP_HUMAN","APCS","Serum amyloid P-component"
"Adenosylhomocysteinase",18.2585430145264,18.2602939605713,18.371265411377,18.1944198608398,18.3338985443115,18.6567039489746,18.5969791412354,17.7299060821533,17.4292755126953,17.8298397064209,17.8354892730713,17.8841285705566,17.9740161895752,18.2796421051025,18.4828433990479,0.041382310661191,0.513692416340918,0.28929684573294,-0.449029922485352,"Non-significant","SAHH_HUMAN","AHCY","Adenosylhomocysteinase"
"Serum amyloid A-4 protein",15.4386777877808,16.1988677978516,15.510232925415,16.5368633270264,16.2803401947021,12.7204551696777,16.43674659729,15.9429702758789,14.082257270813,16.2744045257568,15.552095413208,16.1491184234619,15.2763319015503,15.8484907150269,15.3229598999023,0.741328136248834,0.993555423949802,0.00280790143369389,-0.186293363571174,"Non-significant","SAA4_HUMAN","SAA4","Serum amyloid A-4 protein"
"Serum amyloid A-2 protein",17.9358501434326,18.2377510070801,18.2194194793701,17.6435813903809,17.2177867889404,17.5115528106689,17.5152759552002,17.6625633239746,17.1529388427734,17.7936344146729,17.9739151000977,16.9858646392822,15.8444089889526,16.6773338317871,16.5087871551514,0.0103156157892301,0.259563197291167,0.585756884854789,1.14166426658633,"Non-significant","SAA2_HUMAN","SAA2","Serum amyloid A-2 protein"
"Serum amyloid A-1 protein",19.9010848999023,20.294548034668,20.0742301940918,19.7003116607666,19.7761764526367,19.7268390655518,19.6918640136719,19.648738861084,19.3992118835449,19.7780799865723,19.9407730102539,18.9998512268066,18.4957408905029,18.9731292724609,18.99387550354,0.00272938675704588,0.14810539041052,0.829429134706733,0.826051712036175,"Non-significant","SAA1_HUMAN","SAA1","Serum amyloid A-1 protein"
"Metal cation symporter ZIP14",15.632884979248,15.077841758728,15.4294986724854,15.5928335189819,14.8638715744019,15.2740650177002,14.4540739059448,15.520824432373,15.1634683609009,14.6884412765503,13.5635442733765,15.28307056427,15.384072303772,15.1114492416382,14.4301319122314,0.537883444006622,0.986278956908265,0.00600023281587292,-0.318111419677725,"Non-significant","S39AE_HUMAN","SLC39A14","Metal cation symporter ZIP14"
"SEC14-like protein 2",15.3085775375366,15.2551431655884,15.6093807220459,14.2076654434204,14.4753150939941,15.7509212493896,14.843391418457,12.6323127746582,14.162748336792,14.8357543945313,13.1546020507813,13.2082891464233,12.7982444763184,14.7342910766602,15.6048221588135,0.65290035464063,0.990160993838807,0.00429418615867552,-0.390057325363152,"Non-significant","S14L2_HUMAN","SEC14L2","SEC14-like protein 2"
"Protein S100-A10",19.0933704376221,18.8174018859863,19.0051040649414,18.0836238861084,18.3583545684814,18.4973850250244,18.6122417449951,17.5627574920654,17.0671501159668,17.9053936004639,17.5779590606689,16.6753368377686,16.8260021209717,17.0151100158691,17.4968528747559,0.0791656613246902,0.662692101623066,0.178688205570001,0.524989604949923,"Non-significant","S10AA_HUMAN","S100A10","Protein S100-A10"
"Protein S100-A9",17.7174091339111,15.5531616210938,16.4897861480713,15.260085105896,16.0291233062744,16.6965866088867,16.7570781707764,15.9968023300171,18.3031749725342,15.2206764221191,15.3748626708984,19.2960910797119,14.8221969604492,15.6426410675049,15.7904500961304,0.898092220875912,0.993555423949802,0.00280790143369389,-0.163965702056899,"Non-significant","S10A9_HUMAN","S100A9","Protein S100-A9"
"Protein S100-A8",17.442798614502,14.944616317749,16.2006416320801,15.2366752624512,14.9083414077759,16.2313175201416,16.2702655792236,15.889988899231,18.5601940155029,14.3628044128418,14.8841857910156,18.5988121032715,15.0494060516357,14.2053842544556,14.7490520477295,0.847988527706756,0.993555423949802,0.00280790143369389,0.273629665374751,"Non-significant","S10A8_HUMAN","S100A8","Protein S100-A8"
"Protein S100-A7",14.057089805603,13.6540460586548,13.8842248916626,13.3226776123047,14.1218576431274,17.514368057251,14.3664884567261,12.9605016708374,13.3507394790649,12.71071434021,13.6960859298706,19.654956817627,13.2346611022949,12.4146747589111,14.7856788635254,0.339096859300539,0.967714195029126,0.0142528884036766,-1.84298253059387,"Non-significant","S10A7_HUMAN","S100A7","Protein S100-A7"
"Protein S100-A6",16.7733974456787,16.3725547790527,16.6156158447266,15.3729772567749,15.3574285507202,14.8241386413574,15.0315456390381,15.1692123413086,16.0836601257324,15.8211860656738,15.3989276885986,15.3904609680176,14.1544780731201,14.3215055465698,15.4301223754883,0.103026037641036,0.700192218930129,0.154782719755626,0.794104814529401,"Non-significant","S10A6_HUMAN","S100A6","Protein S100-A6"
"Protein S100-P",17.6884956359863,16.9675197601318,15.5716285705566,17.0185375213623,16.8625888824463,16.2703056335449,15.1081571578979,14.9990930557251,15.2765855789185,16.264461517334,16.9194927215576,15.4978017807007,16.1404571533203,14.9404010772705,16.2981567382813,0.79836482136987,0.993555423949802,0.00280790143369389,0.145704030990601,"Non-significant","S100P_HUMAN","S100P","Protein S100-P"
"Protein S100-G",14.1117162704468,13.4748268127441,13.4948091506958,14.8795547485352,13.4157772064209,13.4670448303223,12.0196647644043,13.3354187011719,13.9246921539307,12.9067583084106,13.425576210022,14.3372106552124,12.9560823440552,15.000563621521,13.0300397872925,0.47088660124278,0.986278956908265,0.00600023281587292,-0.432862758636475,"Non-significant","S100G_HUMAN","S100G","Protein S100-G"
"Ryanodine receptor 3",16.3952102661133,15.735725402832,15.6265163421631,15.2273712158203,16.5308513641357,16.6372470855713,16.4734325408936,14.752986907959,13.6568832397461,14.5625171661377,13.7710332870483,16.4612903594971,16.1333179473877,15.7402124404907,16.0213794708252,0.00232828214777724,0.135476917473788,0.868134693481158,-1.9031949043274,"Non-significant","RYR3_HUMAN","RYR3","Ryanodine receptor 3"
"40S ribosomal protein SA",15.1323509216309,14.5636072158813,14.9970865249634,15.2994260787964,14.9728450775146,15.3771629333496,15.2440996170044,14.4902868270874,14.220477104187,13.7764329910278,14.7412672042847,14.2316341400146,15.0511960983276,13.6383113861084,15.2215270996094,0.613369778406353,0.986278956908265,0.00600023281587292,-0.228551149368275,"Non-significant","RSSA_HUMAN","RPSA","40S ribosomal protein SA"
"40S ribosomal protein S3",14.3040924072266,13.7884740829468,13.5795383453369,13.4024200439453,12.7541599273682,13.3821516036987,15.0200967788696,12.9314022064209,14.2453746795654,13.7066259384155,13.24680519104,13.8839511871338,12.533766746521,13.7184219360352,13.9761610031128,0.992236356602334,0.99759400431617,0.00104616969413644,0.00447678565975096,"Non-significant","RS3_HUMAN","RPS3","40S ribosomal protein S3"
"40S ribosomal protein S28",16.7840347290039,16.6441802978516,16.852518081665,15.9905652999878,15.5914459228516,16.5517444610596,16.4430294036865,15.5896921157837,13.6745176315308,16.0734310150146,15.8603963851929,15.8083257675171,12.6397218704224,15.3711643218994,16.2655296325684,0.787903786273785,0.993555423949802,0.00280790143369389,0.278323888778676,"Non-significant","RS28_HUMAN","RPS28","40S ribosomal protein S28"
"40S ribosomal protein S16",13.0783138275146,14.1904067993164,13.4648265838623,14.0652141571045,12.2900333404541,14.0396642684937,13.6070871353149,14.486798286438,13.0163869857788,13.6663808822632,14.4866800308228,14.0850276947021,12.6600828170776,13.5948581695557,13.3999691009521,0.342015164364938,0.967830145968868,0.0142008546142199,0.479077100753825,"Non-significant","RS16_HUMAN","RPS16","40S ribosomal protein S16"
"40S ribosomal protein S12",16.5005359649658,16.756555557251,16.4156589508057,15.5657510757446,15.4791297912598,16.2673015594482,15.5962133407593,15.4326915740967,15.326078414917,16.1179981231689,15.7375221252441,15.5739936828613,14.5531377792358,15.1596746444702,16.1653156280518,0.486153030165752,0.986278956908265,0.00600023281587292,0.290542125701901,"Non-significant","RS12_HUMAN","RPS12","40S ribosomal protein S12"
"Ribosome-binding protein 1",15.2009868621826,15.1876106262207,15.4663505554199,15.6045007705688,15.2609968185425,15.4560174942017,15.4190320968628,15.0909605026245,15.5408544540405,15.1759510040283,14.8917503356934,15.4501800537109,14.8849716186523,14.4174766540527,15.3628482818604,0.618772085534271,0.986278956908265,0.00600023281587292,0.146009922027602,"Non-significant","RRBP1_HUMAN","RRBP1","Ribosome-binding protein 1"
"Heterogeneous nuclear ribonucleoproteins A2/B1",16.6108093261719,15.7984037399292,16.3137054443359,16.8022003173828,16.1576023101807,16.4567546844482,16.418586730957,15.9407653808594,15.7482738494873,15.7302341461182,16.2064895629883,16.4490661621094,15.9238958358765,16.045690536499,16.3831348419189,0.133624164718723,0.74507150923758,0.127802043255849,-0.29400610923765,"Non-significant","ROA2_HUMAN","HNRNPA2B1","Heterogeneous nuclear ribonucleoproteins A2/B1"
"Ribonuclease T2",13.5777912139893,14.5773754119873,15.1255989074707,13.2269020080566,13.6536846160889,14.8112545013428,12.5026702880859,13.5700988769531,15.0952405929565,15.0064077377319,13.8803625106812,12.5240745544434,13.6441888809204,13.85728931427,13.3990087509155,0.0815531252621021,0.662692101623066,0.178688205570001,1.03188705444335,"Non-significant","RNT2_HUMAN","RNASET2","Ribonuclease T2"
"60S acidic ribosomal protein P2",16.9719142913818,16.4599628448486,16.5997657775879,16.4193019866943,15.9732961654663,16.8617782592773,16.354606628418,15.5221948623657,15.4631128311157,15.764910697937,16.6216087341309,15.6454925537109,15.0275955200195,15.5443725585938,16.372486114502,0.629928404691688,0.986278956908265,0.00600023281587292,0.195470094680774,"Non-significant","RLA2_HUMAN","RPLP2","60S acidic ribosomal protein P2"
"60S acidic ribosomal protein P1",17.5197429656982,17.2118606567383,17.3453712463379,16.9557399749756,17.1056728363037,17.6441383361816,17.2578392028809,16.0431442260742,15.7253427505493,16.6430397033691,16.4844036102295,15.8711204528809,16.110164642334,16.5517654418945,17.2054405212402,0.581992410545331,0.986278956908265,0.00600023281587292,-0.210640192031875,"Non-significant","RLA1_HUMAN","RPLP1","60S acidic ribosomal protein P1"
"60S acidic ribosomal protein P0",15.8325805664063,15.5876455307007,15.4742918014526,15.538031578064,14.6270895004272,16.4390296936035,16.0319061279297,15.5675287246704,14.1766405105591,15.1873407363892,15.3556089401245,12.8778162002563,14.4374265670776,12.3071441650391,15.8902139663696,0.242044941582412,0.917635544265979,0.0373297725483677,1.19362950325015,"Non-significant","RLA0_HUMAN","RPLP0","60S acidic ribosomal protein P0"
"Polyubiquitin-B",19.6671257019043,20.3003807067871,19.4774265289307,19.1227493286133,19.3705463409424,19.287712097168,19.005256652832,18.4208641052246,18.1778335571289,18.1178455352783,19.0866241455078,18.1176776885986,18.1560935974121,18.1774005889893,18.5235195159912,0.438000911423127,0.986278956908265,0.00600023281587292,0.207118988037099,"Non-significant","RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN","RPS27A;UBA52;UBB;UBC","Polyubiquitin-B"
"60S ribosomal protein L22",15.4659585952759,14.7944822311401,15.0177478790283,15.5970106124878,14.7378597259521,14.7954511642456,14.4431896209717,13.9398546218872,14.425799369812,13.9673519134521,13.2899446487427,14.7289352416992,12.8600292205811,14.158317565918,14.6645469665527,0.706669682799737,0.993555423949802,0.00280790143369389,-0.197219610214251,"Non-significant","RL22_HUMAN","RPL22","60S ribosomal protein L22"
"60S ribosomal protein L12",13.6022596359253,13.3360137939453,13.0895557403564,14.2767238616943,14.2759380340576,15.1974315643311,12.7492113113403,13.180588722229,11.872444152832,13.9080972671509,14.0043992996216,14.416784286499,13.6835870742798,13.8705768585205,14.1244602203369,0.211996394161072,0.900262159648071,0.0456310039945608,-0.782469749450676,"Non-significant","RL12_HUMAN","RPL12","60S ribosomal protein L12"
"60S ribosomal protein L11",17.5886993408203,17.8993873596191,18.5291404724121,18.494836807251,18.7362308502197,19.1091747283936,20.3016986846924,17.8934669494629,18.3381004333496,21.2122631072998,20.5040702819824,18.2091388702393,18.8939685821533,19.1942729949951,17.7419548034668,0.326725011192343,0.967714195029126,0.0142528884036766,0.977141380310051,"Non-significant","RL11_HUMAN","RPL11","60S ribosomal protein L11"
"Ribonuclease inhibitor",17.5407943725586,17.3498954772949,17.7024230957031,16.2720756530762,16.2444915771484,17.6348037719727,17.2577476501465,15.722279548645,15.2518110275269,16.5607051849365,16.5434741973877,15.1776142120361,15.6504287719727,16.3635597229004,17.0799427032471,0.930020299407904,0.993555423949802,0.00280790143369389,-0.0483188629150533,"Non-significant","RINI_HUMAN","RNH1","Ribonuclease inhibitor"
"2-iminobutanoate/2-iminopropanoate deaminase",21.1355285644531,20.7818393707275,20.9782276153564,20.0530090332031,20.4333992004395,20.9795055389404,20.8431148529053,19.448184967041,19.3686580657959,20.3199787139893,20.6871910095215,18.8514442443848,19.4812126159668,19.8072128295898,20.6464347839355,0.619617796578415,0.986278956908265,0.00600023281587292,0.259427070617701,"Non-significant","RIDA_HUMAN","RIDA","2-iminobutanoate/2-iminopropanoate deaminase"
"Rho-related GTP-binding protein RhoQ",13.5779275894165,14.1110582351685,14.4632883071899,13.5666065216064,13.0818958282471,14.9081296920776,14.4787883758545,13.5461730957031,12.2371768951416,13.0052108764648,14.8918523788452,12.397271156311,12.7966337203979,14.1411895751953,14.2788848876953,0.98267161342735,0.995579334537958,0.00192412671719819,0.0166084766388011,"Non-significant","RHOQ_HUMAN","RHOQ","Rho-related GTP-binding protein RhoQ"
"Rho-related GTP-binding protein RhoC",13.3981065750122,13.4176797866821,13.6702241897583,12.3375196456909,12.7881898880005,12.9943733215332,13.0933113098145,13.7697658538818,14.3507223129272,12.3256464004517,13.7404155731201,12.0303831100464,12.2245960235596,13.3049745559692,13.4217052459717,0.204710915120046,0.894769305055223,0.0482889227356552,0.801222801208477,"Non-significant","RHOA_HUMAN;RHOB_HUMAN;RHOC_HUMAN","RHOA;RHOB;RHOC","Rho-related GTP-binding protein RhoC"
"Rho GTPase-activating protein 36",12.9235954284668,18.0381679534912,17.8663787841797,18.2264080047607,18.362491607666,18.146354675293,18.1724758148193,18.1419925689697,18.1489524841309,18.3798141479492,18.3565044403076,17.9011611938477,18.2807483673096,17.9301128387451,18.2872352600098,0.263602890649839,0.931542733110392,0.0307972177099243,0.1570014953613,"Non-significant","RHG36_HUMAN","ARHGAP36","Rho GTPase-activating protein 36"
"Regucalcin",16.5471115112305,16.774169921875,16.8450489044189,13.7267007827759,15.8155784606934,16.6664180755615,16.8442516326904,16.2184619903564,16.2520503997803,16.3787593841553,16.1752605438232,14.1266298294067,16.5061779022217,16.26393699646,16.7284126281738,0.601734800160268,0.986278956908265,0.00600023281587292,0.349843740463248,"Non-significant","RGN_HUMAN","RGN","Regucalcin"
"DNA-binding protein RFX5",18.4882907867432,18.1205711364746,17.9585418701172,19.1452884674072,19.1491203308105,18.900318145752,19.0947742462158,17.861255645752,17.929027557373,17.7473602294922,17.8666210174561,18.6151237487793,18.7729263305664,18.6797142028809,18.5422534942627,2.07863156653029e-05,0.00645068662813234,2.19039405545188,-0.801438331604,"Non-significant","RFX5_HUMAN","RFX5","DNA-binding protein RFX5"
"Retinol-binding protein 5",15.5340023040771,15.6145515441895,15.491925239563,12.8510255813599,14.2331418991089,16.0001678466797,15.5801229476929,12.5475511550903,13.9298458099365,13.3063354492188,16.249662399292,12.9205522537231,13.4641275405884,15.2363882064819,16.2907981872559,0.688813355795849,0.993555423949802,0.00280790143369389,-0.469617843627926,"Non-significant","RET5_HUMAN","RBP5","Retinol-binding protein 5"
"Retinol-binding protein 4",22.6770210266113,22.9375553131104,22.7672100067139,23.6026573181152,23.4046936035156,23.0487995147705,22.8874454498291,23.4921360015869,23.362642288208,23.4449710845947,23.4976406097412,23.8179035186768,23.6761608123779,23.6591835021973,24.0636768341064,0.0264421030286243,0.447592689448168,0.349117015437361,-0.354883670806899,"Non-significant","RET4_HUMAN","RBP4","Retinol-binding protein 4"
"Reelin",13.402660369873,14.2085990905762,14.5986919403076,13.5597085952759,15.029128074646,13.2673664093018,15.0276641845703,15.3365383148193,15.0012407302856,15.1664218902588,14.6575527191162,15.3816947937012,14.9178705215454,14.7578687667847,14.277904510498,0.47787944568495,0.986278956908265,0.00600023281587292,0.206603765487651,"Non-significant","RELN_HUMAN","RELN","Reelin"
"Receptor expression-enhancing protein 6",15.8192710876465,14.9289207458496,14.963623046875,15.3943223953247,14.7405290603638,15.8616323471069,15.4539976119995,16.4239177703857,13.9547052383423,14.6856136322021,13.4144315719604,13.107458114624,16.1359252929688,15.550124168396,15.5971422195435,0.629967660724512,0.986278956908265,0.00600023281587292,-0.47799539566045,"Non-significant","REEP6_HUMAN","REEP6","Receptor expression-enhancing protein 6"
"UV excision repair protein RAD23 homolog B",15.2691373825073,14.91090965271,15.4604015350342,14.1898441314697,13.4117670059204,15.1189365386963,15.2366046905518,12.7073049545288,14.0389957427979,14.3796558380127,14.7000188827515,13.3981523513794,13.4863252639771,13.5737190246582,14.3341054916382,0.621988157573258,0.986278956908265,0.00600023281587292,0.258418321609499,"Non-significant","RD23B_HUMAN","RAD23B","UV excision repair protein RAD23 homolog B"
"Reticulocalbin-3",18.2172241210938,18.5377712249756,18.4112758636475,18.6588840484619,18.7414836883545,18.1897087097168,18.5627899169922,18.522045135498,18.4210243225098,18.5898952484131,18.1689910888672,18.4857578277588,18.5530433654785,18.5799198150635,18.3472442626953,0.561991272005481,0.986278956908265,0.00600023281587292,-0.0660023689269984,"Non-significant","RCN3_HUMAN","RCN3","Reticulocalbin-3"
"Reticulocalbin-1",17.5494613647461,17.6318588256836,17.5252838134766,17.3178272247314,17.4648723602295,17.5106410980225,17.6120624542236,17.0549545288086,16.975378036499,17.2386474609375,17.7094211578369,16.8423137664795,17.0758972167969,17.0904426574707,17.3583927154541,0.468739897313457,0.986278956908265,0.00600023281587292,0.152838706970201,"Non-significant","RCN1_HUMAN","RCN1","Reticulocalbin-1"
"Ras-related protein Rab-11A",16.1054706573486,15.6247243881226,15.841588973999,15.6284828186035,15.4009923934937,15.7247829437256,15.7247638702393,15.0196561813354,14.7285261154175,15.0706577301025,15.8598575592041,15.3064680099487,14.2856044769287,14.9919290542603,15.4141702651978,0.645188086872462,0.986278956908265,0.00600023281587292,0.170131444931,"Non-significant","RB11A_HUMAN;RB11B_HUMAN","RAB11A;RAB11B","Ras-related protein Rab-11A"
"Ras-related protein Rap-1b",16.0905933380127,16.3027324676514,15.9565649032593,15.9729795455933,16.1741809844971,16.4242076873779,16.4048099517822,16.304615020752,15.7208185195923,15.8694295883179,15.5531854629517,15.7103223800659,15.7714738845825,15.918285369873,16.1372680664063,0.909734398117917,0.993555423949802,0.00280790143369389,-0.0223252773284504,"Non-significant","RAP1A_HUMAN;RAP1B_HUMAN","RAP1A;RAP1B","Ras-related protein Rap-1b"
