HBV	HBV_pure_new	HDV	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
20.1192	20.6082	16.7424	P07858	P07858	CATB_HUMAN	CTSB	Cathepsin B
20.4279	21.0079	17.573	P07900	P07900	HS90A_HUMAN	HSP90AA1	Heat shock protein HSP 90-alpha
22.8674	23.6356	20.4875	P07900;P08238	P08238;Q58FF7;P07900;Q58FF8;G3V2J8	HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AB1	Heat shock protein HSP 90-alpha
21.1378	22.0239	19.761	P07900;P08238;Q14568	P08238;Q14568;P07900;Q58FF8	HS902_HUMAN;HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AA2P;HSP90AB1	Heat shock protein HSP 90-alpha
19.6492	21.2301	18.1718	P07900;P08238;Q58FF6	P08238;Q58FF6;Q58FF7;P07900;Q58FF8;G3V2J8	H90B4_HUMAN;HS90A_HUMAN;HS90B_HUMAN	HSP90AA1;HSP90AB1;HSP90AB4P	Heat shock protein HSP 90-alpha
20.0444	20.6902	18.1167	P07900;Q14568	Q14568;P07900;G3V2J8	HS902_HUMAN;HS90A_HUMAN	HSP90AA1;HSP90AA2P	Heat shock protein HSP 90-alpha
19.0918	19.8531	17.7016	P07910	P07910;G3V2D6;G3V555;B2R5W2;G3V5V7;G3V575;G3V2Q1;G3V4W0;G3V576;B4DY08;G3V4C1	HNRPC_HUMAN	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2
21.6214	21.3858	21.0114	P07942	P07942;E7EPA6;G3XAI2	LAMB1_HUMAN	LAMB1	Laminin subunit beta-1
15.5467	15.7082	NaN	P07947;P12931	P06239;P12931;P07947;P06241;Q573B4;J3QRU1	SRC_HUMAN;YES_HUMAN	SRC;YES1	Tyrosine-protein kinase Yes
15.6618	16.3117	NaN	P07954	P07954	FUMH_HUMAN	FH	Fumarate hydratase, mitochondrial
23.8694	23.9497	24.5404	P07996	P07996	TSP1_HUMAN	THBS1	Thrombospondin-1
20.1746	20.4805	20.5773	P07996;P35442	P35442;P07996;A0A3B3ITK0	TSP1_HUMAN;TSP2_HUMAN	THBS1;THBS2	Thrombospondin-1
18.0913	18.5314	19.4848	P07996;P35442;P49746	P35442;P49746;P07996;A0A3B3ITK0;Q2HIZ1;F5H4Z8	TSP1_HUMAN;TSP2_HUMAN;TSP3_HUMAN	THBS1;THBS2;THBS3	Thrombospondin-1
19.024	17.8863	20.4133	P08123	P08123;A0A087WTA8	CO1A2_HUMAN	COL1A2	Collagen alpha-2(I) chain
19.1176	18.8131	14.8585	P08133	P08133	ANXA6_HUMAN	ANXA6	Annexin A6
17.6018	18.5251	16.1231	P08134;P61586	P61586;P08134;P62745;Q5JR05;U3KQV3;C9JRM1;Q5JR06;C9JX21;E9PN11;Q5JR07;Q5JR08;C9JNR4;E9PQH6;E9PLA2;U3KQA9	RHOA_HUMAN;RHOC_HUMAN	RHOA;RHOC	Rho-related GTP-binding protein RhoC
16.7713	17.3622	NaN	P08195	P08195;J3KPF3;F5GZS6	4F2_HUMAN	SLC3A2	4F2 cell-surface antigen heavy chain
15.8987	15.5381	NaN	P08236	P08236;F2Z3L6;F8WBK6	BGLR_HUMAN	GUSB	Beta-glucuronidase
21.6734	22.54	19.9589	P08238	P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta
21.0931	21.376	18.4343	P08238;P14625	P08238;P14625;A0A1W2PRR1;Q96GW1;F8W026	ENPL_HUMAN;HS90B_HUMAN	HSP90AB1;HSP90B1	Heat shock protein HSP 90-beta
13.5132	15.4041	15.1216	P08243	P08243	ASNS_HUMAN	ASNS	Asparagine synthetase [glutamine-hydrolyzing]
14.4948	15.1934	17.0251	P08253	P08253;H3BR66;H3BV48	MMP2_HUMAN	MMP2	72 kDa type IV collagenase
17.4548	18.2595	15.573	P08263;P09210	P08263;Q16772;P09210	GSTA1_HUMAN;GSTA2_HUMAN	GSTA1;GSTA2	Glutathione S-transferase A1
16.2549	16.6023	NaN	P08559	P08559;Q5JPT9;Q5JPU2;Q5JPU0;Q5JPU1	ODPA_HUMAN	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
18.2007	18.5208	16.7109	P08567	P08567	PLEK_HUMAN	PLEK	Pleckstrin
19.8514	19.4538	20.476	P08603	P08603	CFAH_HUMAN	CFH	Complement factor H
13.8649	14.7686	12.93	P08621	P08621;M0QX04;M0QYR1	RU17_HUMAN	SNRNP70	U1 small nuclear ribonucleoprotein 70 kDa
15.7851	15.0508	15.4281	P08670	P08670;B0YJC5;B0YJC4	VIME_HUMAN	VIM	Vimentin
22.0835	20.8431	23.2656	P08697	P08697;A0A0J9YY65;C9JPV4;A0A0G2JPA8;C9JMH6;A0A0J9YWQ3	A2AP_HUMAN	SERPINF2	Alpha-2-antiplasmin
16.8379	17.481	15.0185	P08708	P08708;H3BNC9;H0YN73;A0A075B716;H0YN88	RS17_HUMAN	RPS17	40S ribosomal protein S17
19.3734	20.6546	16.9294	P08727	P08727;Q04695;C9JM50;F5GWP8	K1C19_HUMAN	KRT19	Keratin, type I cytoskeletal 19
19.5315	19.076	16.6954	P08758	P08758;D6RBL5;E9PHT9	ANXA5_HUMAN	ANXA5	Annexin A5
14.2694	NaN	15.6354	P08779	P08779	K1C16_HUMAN	KRT16	Keratin, type I cytoskeletal 16
17.2684	16.7807	NaN	P08833	P08833;C9J6H2;C9JXF9	IBP1_HUMAN	IGFBP1	Insulin-like growth factor-binding protein 1
19.5104	20.6204	18.8884	P08865	P08865;C9J9K3;A0A0C4DG17	RSSA_HUMAN	RPSA	40S ribosomal protein SA
14.9229	16.1581	NaN	P08962	P08962;F8W022;F8VNT9;F8VWK8;F8VV56	CD63_HUMAN	CD63	CD63 antigen
17.3652	17.307	NaN	P09012	P09012;P08579;M0R268;M0R0G9;M0R2B8;M0R221;M0QZG7;M0QXK2	SNRPA_HUMAN	SNRPA	U1 small nuclear ribonucleoprotein A
17.1299	17.3901	NaN	P09104	P09104;F5H0C8	ENOG_HUMAN	ENO2	Gamma-enolase
NaN	13.8144	NaN	P09110	P09110;C9JDE9;H7C131;H0Y4D4	THIK_HUMAN	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal
18.8161	18.7427	17.9117	P09211	P09211;A8MX94	GSTP1_HUMAN	GSTP1	Glutathione S-transferase P
16.6751	18.284	NaN	P09327	P09327;H7C0B6;B4DV78	VILI_HUMAN	VIL1	Villin-1
14.6971	15.054	NaN	P09382	P09382	LEG1_HUMAN	LGALS1	Galectin-1
17.5077	18.3768	15.1013	P09417	P09417	DHPR_HUMAN	QDPR	Dihydropteridine reductase
15.4186	16.4995	NaN	P09429	P09429;Q5T7C4	HMGB1_HUMAN	HMGB1	High mobility group protein B1
17.4687	17.9541	NaN	P09455	P09455;A0A0A0MQT0;H0YAK8;A0A0A0MTB9	RET1_HUMAN	RBP1	Retinol-binding protein 1
17.1762	17.6798	15.4273	P09467	P09467;A0A3B3IUC7;Q5VZC3	F16P1_HUMAN	FBP1	Fructose-1,6-bisphosphatase 1
15.1505	12.9358	16.3244	P09486	P09486;F5GY03	SPRC_HUMAN	SPARC	SPARC
16.1455	16.6165	NaN	P09488	P09488;E7EWW9	GSTM1_HUMAN	GSTM1	Glutathione S-transferase Mu 1
17.8834	18.0396	17.8416	P09496	P09496;F8WF69	CLCA_HUMAN	CLTA	Clathrin light chain A
16.2886	16.3688	NaN	P09497	P09497;D6RJD1	CLCB_HUMAN	CLTB	Clathrin light chain B
18.5932	18.5508	NaN	P09525	P09525;Q6P452	ANXA4_HUMAN	ANXA4	Annexin A4
19.7287	19.1048	16.7978	P09651	P09651;F8W6I7;H0YH80	ROA1_HUMAN	HNRNPA1	Heterogeneous nuclear ribonucleoprotein A1
16.5237	17.4617	13.6883	P09661	P09661;H0YKK0	RU2A_HUMAN	SNRPA1	U2 small nuclear ribonucleoprotein A'
18.2409	18.7858	NaN	P09668	P09668;A0A087X0D5	CATH_HUMAN	CTSH	Pro-cathepsin H
20.1306	20.6194	18.7867	P09871	P09871;H0Y5D1;A0A087X232;F8WCZ6;F5H7T4	C1S_HUMAN	C1S	Complement C1s subcomponent
15.0998	19.2252	17.5892	P09871;P48740	P48740;P09871;H0Y5D1;A0A087X232;C9JMA2;F8W876;B5MCV4	C1S_HUMAN;MASP1_HUMAN	C1S;MASP1	Complement C1s subcomponent
18.0669	18.8649	16.7777	P09874	P09874	PARP1_HUMAN	PARP1	Poly [ADP-ribose] polymerase 1
19.1769	19.9332	17.574	P09972	P09972;K7EKH5;C9J8F3;A8MVZ9;J3KSV6;J3QKP5	ALDOC_HUMAN	ALDOC	Fructose-bisphosphate aldolase C
27.972	27.9247	24.1004	P0C0L4	P0C0L4;P0C0L5;A0A140TA32;A0A140TA49;A0A140TA29;A0A140TA44;F5GXS0;A0A0G2JPR0;A0A0G2JL54	CO4A_HUMAN	C4A	Complement C4-A
20.2538	20.2362	17.1693	P0C0L5	P0C0L5;A0A3B3ISA6;A0A140TA29;F5GXS0;A0A0G2JL54	CO4B_HUMAN	C4B	Complement C4-B
21.388	21.0293	19.2802	P0C0S5;Q71UI9	Q71UI9;P0C0S5;C9J386;A0A494C189;C9J0D1	H2AV_HUMAN;H2AZ_HUMAN	H2AZ1;H2AZ2	Histone H2A.Z
18.9544	16.6654	17.8103	P0C0S8;P20671;Q16777;Q6FI13;Q96KK5;Q99878;Q9BTM1	Q9BTM1;Q96KK5;P0C0S8;Q16777;P20671;Q99878;Q6FI13;H0YFX9;A0A0U1RR32;A0A0U1RRH7	H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2AJ_HUMAN	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC7;H2AJ	Histone H2A type 1
20.7795	21.0154	19.4945	P0CG47;P0CG48;P62979;P62987	P0CG48;P0CG47;P62979;P62987;B4DV12;M0R1V7;F5H265;M0R2S1;J3QKN0;J3QTR3;F5H388;F5GYU3;F5GXK7;F5H747;F5H6Q2;M0R1M6;A0A2R8Y422;F5H2Z3;Q96C32;Q5PY61;J3QS39	RL40_HUMAN;RS27A_HUMAN;UBB_HUMAN;UBC_HUMAN	RPS27A;UBA52;UBB;UBC	Polyubiquitin-B
14.2625	16.2456	NaN	P0DMM9;P0DMN0	P0DMM9;P0DMN0;H3BPL6;A0A0A6YYL2	ST1A3_HUMAN;ST1A4_HUMAN	SULT1A3;SULT1A4	Sulfotransferase 1A3
17.6279	18.9046	NaN	P0DMM9;P0DMN0;P50225	P50226;P0DMM9;P0DMN0;P50225;H3BRY5;E9PKW4;A0A0A6YYL2	ST1A1_HUMAN;ST1A3_HUMAN;ST1A4_HUMAN	SULT1A1;SULT1A3;SULT1A4	Sulfotransferase 1A3
22.6392	22.8654	20.2626	P0DMV8;P0DMV9	P0DMV9;P48741;P17066;P0DMV8;V9GZ37;A0A0G2JIW1	HS71A_HUMAN;HS71B_HUMAN	HSPA1A;HSPA1B	Heat shock 70 kDa protein 1A
18.7737	19.034	17.7677	P0DP23;P0DP24;P0DP25	P0DP25;P0DP24;P0DP23;Q96HY3;E7EMB3;G3V361;A0A590UJI2	CALM1_HUMAN;CALM2_HUMAN;CALM3_HUMAN	CALM1;CALM2;CALM3	Calmodulin-1
16.9748	16.6887	18.3675	P0DPB5	P0DPB5;A0A087WTY1	RPC22_HUMAN	POLR1D	Protein POLR1D, isoform 2
20.4559	20.5016	18.7018	P0DTE7;P0DTE8;P0DUB6;P19961	P0DUB6;P04746;P19961;P0DTE8;P0DTE7;C9J2Z5;C9JWK7;Q5T084;H7BZQ8;Q5T085	AMY1A_HUMAN;AMY1B_HUMAN;AMY1C_HUMAN;AMY2B_HUMAN	AMY1A;AMY1B;AMY1C;AMY2B	Alpha-amylase 1B
NaN	14.2315	NaN	P10155	P10155;H0Y9N5	RO60_HUMAN	RO60	60 kDa SS-A/Ro ribonucleoprotein
15.0132	17.4903	NaN	P10253	P10253	LYAG_HUMAN	GAA	Lysosomal alpha-glucosidase
NaN	13.693	NaN	P10301;P62070	P62070;P10301;E9PQC5;E9PQK5	RRAS2_HUMAN;RRAS_HUMAN	RRAS;RRAS2	Ras-related protein R-Ras
15.5613	17.1111	NaN	P10321	P10321;O19617;A0A140T933;A2AEA2;A0A140T955;A0A140T921;A0A1W2PRT9;A0A140T913;A0A140T9U8;A0A140T9H5;A0A1W2PRU9;A0A140T9X5;Q53Z42;A0A1W2PPQ2;A0A140T9I0	HLAC_HUMAN	HLA-C	HLA class I histocompatibility antigen, C alpha chain
21.8339	22.1288	21.2089	P10412;P16402;P16403	P16403;P10412;P16402	H12_HUMAN;H13_HUMAN;H14_HUMAN	H1-2;H1-3;H1-4	Histone H1.4
20.5417	20.7846	20.5573	P10586	P10586;H0Y6Z7;H0Y4H1	PTPRF_HUMAN	PTPRF	Receptor-type tyrosine-protein phosphatase F
19.5205	20.0848	19.6288	P10586;P23468	P10586;P23468;A2A437;Q3KPI9;F5GWR7	PTPRD_HUMAN;PTPRF_HUMAN	PTPRD;PTPRF	Receptor-type tyrosine-protein phosphatase F
NaN	NaN	16.1553	P10599	P10599	THIO_HUMAN	TXN	Thioredoxin
16.4517	16.921	NaN	P10619	P10619;X6R8A1;X6R5C5	PPGB_HUMAN	CTSA	Lysosomal protective protein
22.2826	22.5298	22.5542	P10643	P10643	CO7_HUMAN	C7	Complement component C7
17.082	16.7786	NaN	P10644	P10644	KAP0_HUMAN	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit
21.5926	22.5227	18.5192	P10646	P10646	TFPI1_HUMAN	TFPI	Tissue factor pathway inhibitor
18.5779	19.3835	16.7671	P10768	P10768;U3KQT1	ESTD_HUMAN	ESD	S-formylglutathione hydrolase
18.9301	19.3248	15.1419	P10809	P10809	CH60_HUMAN	HSPD1	60 kDa heat shock protein, mitochondrial
22.8702	23.4691	23.7009	P10909	P10909;H0YAS8;H0YC35	CLUS_HUMAN	CLU	Clusterin
19.2765	20.1608	18.9389	P11021	P11021	BIP_HUMAN	HSPA5	Endoplasmic reticulum chaperone BiP
21.4858	22.301	20.4509	P11021;P11142	P11142;P0DMV9;P0DMV8;P34931;P54652;P11021;E9PKE3;E9PQK7;E9PI65;E9PPY6;E9PK54;A0A0G2JIW1;E9PLF4;E9PNE6;Q53FA3;E9PQQ4;E9PN25	BIP_HUMAN;HSP7C_HUMAN	HSPA5;HSPA8	Endoplasmic reticulum chaperone BiP
21.2834	21.0894	20.8149	P11047	P11047	LAMC1_HUMAN	LAMC1	Laminin subunit gamma-1
21.8801	22.497	20.4717	P11142	P11142;E9PKE3;A8K7Q2;E9PS65;E9PNE6	HSP7C_HUMAN	HSPA8	Heat shock cognate 71 kDa protein
13.7991	16.1967	16.4248	P11150	P11150;E7EUJ1	LIPC_HUMAN	LIPC	Hepatic triacylglycerol lipase
19.6901	19.9954	16.7648	P11166	P11166;A0A6Q8PFI8	GTR1_HUMAN	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1
17.8429	19.0849	NaN	P11169;Q8TDB8	Q8TDB8;P11169	GTR14_HUMAN;GTR3_HUMAN	SLC2A14;SLC2A3	Solute carrier family 2, facilitated glucose transporter member 3
19.2227	19.9249	17.1992	P11216	P11216;P11217	PYGB_HUMAN	PYGB	Glycogen phosphorylase, brain form
NaN	NaN	15.1655	P11362	P11362;E7EU09;E9PN14;A0A3B3ISD1;C1KBH7;B5A958;E9PNM3;A0A6I8PRY1;E9PKF2;E9PKV7	FGFR1_HUMAN	FGFR1	Fibroblast growth factor receptor 1
18.1065	18.1934	14.2363	P11387	P11387	TOP1_HUMAN	TOP1	DNA topoisomerase 1
18.2986	19.4702	NaN	P11413	P11413	G6PD_HUMAN	G6PD	Glucose-6-phosphate 1-dehydrogenase
17.7998	18.9497	16.724	P11586	P11586;V9GYY3;F5H2F4;A0A494C1T2;V9GZ78;A0A384N5Y3	C1TC_HUMAN	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic
21.5341	22.0948	20.4996	P11717	P11717	MPRI_HUMAN	IGF2R	Cation-independent mannose-6-phosphate receptor
19.1137	19.4766	18.5384	P11766	P11766	ADHX_HUMAN	ADH5	Alcohol dehydrogenase class-3
17.3847	18.8033	16.0507	P11940	P11940;Q9H361;H0YC10;H0YAS6;H0YB75;E7ERJ7;H0YAS7;E7EQV3;A0A087WTT1	PABP1_HUMAN	PABPC1	Polyadenylate-binding protein 1
15.766	16.2166	NaN	P11940;Q13310	P11940;Q13310;E5RHG7;E5RJB9;E7ERJ7;H0YBN4;E5RH24;B1ANR0;E7EQV3;B1ANR1;A0A087WTT1;E5RGH3	PABP1_HUMAN;PABP4_HUMAN	PABPC1;PABPC4	Polyadenylate-binding protein 1
17.8801	19.1213	15.1232	P12004	P12004	PCNA_HUMAN	PCNA	Proliferating cell nuclear antigen
17.4484	18.9825	NaN	P12081	P49590;P12081;A0A6Q8PF47;A0A6Q8PFG9;A0A6Q8PFF2;A0A2R8Y4X6;A0A2R8Y6I1;A0A6Q8PHA5;E7ETE2;D6RJE6;A0A2R8Y5E8;A0A2R8Y5P7;A0A6Q8PFN6;A0A6Q8PF07;A0A2R8Y3N3	HARS1_HUMAN	HARS1	Histidine--tRNA ligase, cytoplasmic
14.6067	NaN	17.2221	P12107	P12107	COBA1_HUMAN	COL11A1	Collagen alpha-1(XI) chain
21.4512	21.1728	22.4285	P12109	P12109;A0A087X0S5	CO6A1_HUMAN	COL6A1	Collagen alpha-1(VI) chain
19.3705	19.0922	20.1921	P12110	P12110;H7C0M5	CO6A2_HUMAN	COL6A2	Collagen alpha-2(VI) chain
20.01	20.0919	20.4657	P12111	P12111;E7ENL6	CO6A3_HUMAN	COL6A3	Collagen alpha-3(VI) chain
21.9798	22.2632	22.0467	P12259	P12259;A0A0A0MRJ7	FA5_HUMAN	F5	Coagulation factor V
17.0071	17.9525	17.0765	P12268	P12268;H0Y4R1	IMDH2_HUMAN	IMPDH2	Inosine-5'-monophosphate dehydrogenase 2
16.9263	18.0542	16.1504	P12270	P12270	TPR_HUMAN	TPR	Nucleoprotein TPR
18.7038	19.0322	16.6229	P12277	P12277;G3V4N7;G3V461	KCRB_HUMAN	CKB	Creatine kinase B-type
NaN	NaN	15.672	P12314;Q92637	Q92637;P12314;A0A0A0MRM3;A0A087WXZ6	FCGR1_HUMAN;FCGRB_HUMAN	FCGR1A;FCGR1B	High affinity immunoglobulin gamma Fc receptor I
15.4784	16.6591	NaN	P12644	P12644;H0YLW3	BMP4_HUMAN	BMP4	Bone morphogenetic protein 4
19.274	19.6403	18.3062	P12814	P12814;H7C5W8;H9KV75	ACTN1_HUMAN	ACTN1	Alpha-actinin-1
14.6217	16.3644	NaN	P12821	P12821;A0A0A0MSN4;J3KS28	ACE_HUMAN	ACE	Angiotensin-converting enzyme
18.6234	18.8596	18.5737	P12830	P12830;H3BVI7;A0A087WXI5;A0A087WX17;A0A087WU43;H3BNC6	CADH1_HUMAN	CDH1	Cadherin-1
17.5112	16.2898	16.1372	P12955	P12955;A0A494C165;K7ES25;A0A494C194	PEPD_HUMAN	PEPD	Xaa-Pro dipeptidase
19.5451	20.1273	17.5223	P12956	P12956;B1AHC9	XRCC6_HUMAN	XRCC6	X-ray repair cross-complementing protein 6
19.521	20.2665	17.394	P13010	P13010	XRCC5_HUMAN	XRCC5	X-ray repair cross-complementing protein 5
14.3499	16.5667	NaN	P13164;Q01628;Q01629	Q01629;P13164;Q01628;H7BYV1;E9PQN9;E9PS44	IFM1_HUMAN;IFM2_HUMAN;IFM3_HUMAN	IFITM1;IFITM2;IFITM3	Interferon-induced transmembrane protein 1
NaN	14.3776	NaN	P13489	P13489;E9PMA9;E9PIK5;E9PMJ3;E9PLZ3;E9PIM9;E9PMN0	RINI_HUMAN	RNH1	Ribonuclease inhibitor
16.1577	16.1461	NaN	P13497	P13497	BMP1_HUMAN	BMP1	Bone morphogenetic protein 1
17.9766	16.5141	18.4396	P13591	P13591;A0A087WWD4	NCAM1_HUMAN	NCAM1	Neural cell adhesion molecule 1
18.1883	18.6325	17.4771	P13611	P13611;E9PF17;D6RGZ6;Q86W61	CSPG2_HUMAN	VCAN	Versican core protein
20.3086	21.253	20.0181	P13639	P13639	EF2_HUMAN	EEF2	Elongation factor 2
20.0778	20.9156	19.8924	P13639;Q15029	Q15029;P13639;K7EP67;K7EJ74	EF2_HUMAN;U5S1_HUMAN	EEF2;EFTUD2	Elongation factor 2
20.0101	20.2929	20.2952	P13645	P13645	K1C10_HUMAN	KRT10	Keratin, type I cytoskeletal 10
17.889	18.4409	NaN	P13646;P19012	P13646;P19012;K7ERE3;K7EQH6	K1C13_HUMAN;K1C15_HUMAN	KRT13;KRT15	Keratin, type I cytoskeletal 13
17.547	17.4868	18.1211	P13647	P13647;H0YIN9;H0YI76	K2C5_HUMAN	KRT5	Keratin, type II cytoskeletal 5
18.4211	19.6485	19.1067	P13647;P35908	P48668;O95678;P02538;P13647;Q5XKE5;P04259;P35908;H0YIN9;H0YI76	K22E_HUMAN;K2C5_HUMAN	KRT2;KRT5	Keratin, type II cytoskeletal 5
16.6955	18.1492	15.1209	P13667	P13667;A0A499FI48	PDIA4_HUMAN	PDIA4	Protein disulfide-isomerase A4
18.357	18.4353	18.0346	P13671	P13671	CO6_HUMAN	C6	Complement component C6
18.0883	19.1601	15.8757	P13674	P13674	P4HA1_HUMAN	P4HA1	Prolyl 4-hydroxylase subunit alpha-1
18.0332	18.475	NaN	P13804	P13804;H0YK49;H0YL83	ETFA_HUMAN	ETFA	Electron transfer flavoprotein subunit alpha, mitochondrial
NaN	17.1346	NaN	P13807	P13807	GYS1_HUMAN	GYS1	Glycogen [starch] synthase, muscle
17.4337	18.3517	NaN	P13861	P13861;C9J830	KAP2_HUMAN	PRKAR2A	cAMP-dependent protein kinase type II-alpha regulatory subunit
18.2476	17.6284	15.7356	P13929	P13929;E5RGZ4	ENOB_HUMAN	ENO3	Beta-enolase
20.731	21.2756	NaN	P14174	P14174	MIF_HUMAN	MIF	Macrophage migration inhibitory factor
18.6595	19.0408	NaN	P14222	P14222	PERF_HUMAN	PRF1	Perforin-1
16.5973	16.9656	NaN	P14406	P14406;D6R9C3;D6RIE3;D6RGV5;H0UI06	CX7A2_HUMAN	COX7A2	Cytochrome c oxidase subunit 7A2, mitochondrial
21.0434	20.8737	23.7904	P14543	P14543	NID1_HUMAN	NID1	Nidogen-1
19.6365	19.5694	22.0697	P14543;Q14112	Q14112;P14543;A0A087WZP6;H0YJV3	NID1_HUMAN;NID2_HUMAN	NID1;NID2	Nidogen-1
19.5512	19.879	17.2697	P14550	P14550;Q5T621;V9GYP9;V9GYG2	AK1A1_HUMAN	AKR1A1	Aldo-keto reductase family 1 member A1
15.5141	19.405	NaN	P14555	P14555;A0A3B3IRX2	PA2GA_HUMAN	PLA2G2A	Phospholipase A2, membrane associated
22.8642	23.413	20.5971	P14618	P14618;B4DNK4;H3BR70	KPYM_HUMAN	PKM	Pyruvate kinase PKM
22.0762	22.6908	20.4511	P14618;P30613	P30613;P14618;B4DNK4;H3BR70;H3BTN5	KPYM_HUMAN;KPYR_HUMAN	PKLR;PKM	Pyruvate kinase PKM
20.3276	21.0239	18.345	P14625	P14625;A0A1W2PRR1;Q96GW1	ENPL_HUMAN	HSP90B1	Endoplasmin
13.6707	16.82	NaN	P14678;P63162	P14678;P63162;S4R3P3;J3KRY3;J3QLE5	RSMB_HUMAN;RSMN_HUMAN	SNRPB;SNRPN	Small nuclear ribonucleoprotein-associated proteins B and B'
15.7003	16.5134	15.1241	P14735	P14735;Q5T5N3;A0A3B3ISG5	IDE_HUMAN	IDE	Insulin-degrading enzyme
NaN	NaN	15.5196	P14780	P14780	MMP9_HUMAN	MMP9	Matrix metalloproteinase-9
15.3726	17.0242	14.6906	P14866	P14866;A0A3B3ITJ4;M0QXS5;M0R076;M0QYT0	HNRPL_HUMAN	HNRNPL	Heterogeneous nuclear ribonucleoprotein L
17.856	18.8479	16.6774	P14868	P14868	SYDC_HUMAN	DARS1	Aspartate--tRNA ligase, cytoplasmic
19.5212	20.1612	19.7335	P15085	P15085;P15086;C9JUF9	CBPA1_HUMAN	CPA1	Carboxypeptidase A1
18.0164	18.6276	NaN	P15121	P15121;E9PCX2	ALDR_HUMAN	AKR1B1	Aldo-keto reductase family 1 member B1
20.4585	20.5919	19.0531	P15169	P15169	CBPN_HUMAN	CPN1	Carboxypeptidase N catalytic chain
13.2599	15.6334	NaN	P15170;Q8IYD1	P15170;Q8IYD1;H3BR35	ERF3A_HUMAN;ERF3B_HUMAN	GSPT1;GSPT2	Eukaryotic peptide chain release factor GTP-binding subunit ERF3A
19.1559	19.1763	17.8563	P15291	P15291;Q86XA6	B4GT1_HUMAN	B4GALT1	Beta-1,4-galactosyltransferase 1
17.8893	18.6381	NaN	P15311	P15311;E7EQR4	EZRI_HUMAN	EZR	Ezrin
20.9263	21.0367	18.391	P15311;P26038	P26038;P35241;P15311;E9PNV3;V9GZ54;E9PQ82;E7EQR4;A0A2R8Y7M3;A0A2R8Y5S7	EZRI_HUMAN;MOES_HUMAN	EZR;MSN	Ezrin
NaN	16.6427	NaN	P15374	P15374;Q5TBK7;A0A087WTB8	UCHL3_HUMAN	UCHL3	Ubiquitin carboxyl-terminal hydrolase isozyme L3
18.4708	18.8053	18.1504	P15531;P22392	P22392;P15531;E7ERL0;C9K028;Q32Q12;E5RHP0;J3KPD9;F6XY72	NDKA_HUMAN;NDKB_HUMAN	NME1;NME2	Nucleoside diphosphate kinase A
14.7806	18.089	NaN	P15559	P15559;H3BNV2;B4DLR8	NQO1_HUMAN	NQO1	NAD(P)H dehydrogenase [quinone] 1
15.7676	16.1652	NaN	P15586	P15586;F6S8M0;H7C3P4	GNS_HUMAN	GNS	N-acetylglucosamine-6-sulfatase
18.607	15.9725	NaN	P15692	P15692;J3KPA4;A0A0A0MTB2;A0A0A0MSH5;H3BLW8;A0A0A0MSH7;A0A0A0MSI7;A0A5F9ZH41;A2A2V4	VEGFA_HUMAN	VEGFA	Vascular endothelial growth factor A
18.3086	19.1452	16.8252	P15880	P15880;E9PQD7;H0YEN5	RS2_HUMAN	RPS2	40S ribosomal protein S2
16.1977	16.4982	13.6295	P15907	P15907;H7C472	SIAT1_HUMAN	ST6GAL1	Beta-galactoside alpha-2,6-sialyltransferase 1
15.9288	16.7369	NaN	P15924	P15924	DESP_HUMAN	DSP	Desmoplakin
15.1125	16.1525	NaN	P15927	P15927;Q5TEJ7	RFA2_HUMAN	RPA2	Replication protein A 32 kDa subunit
16.5733	16.8851	16.7946	P16035	P16035	TIMP2_HUMAN	TIMP2	Metalloproteinase inhibitor 2
17.8401	14.798	19.5407	P16070	P16070;H0YD17;H0Y5E4;H0YDX6;H0YCV9;H0Y2P0;H0YD13;H0YDW7	CD44_HUMAN	CD44	CD44 antigen
12.6547	13.8633	15.5685	P16112	P16112;H0YMF1;H0YK70;A0A5K1VW97;A0A087X1T7	PGCA_HUMAN	ACAN	Aggrecan core protein
19.1665	19.3256	16.0213	P16152	P16152	CBR1_HUMAN	CBR1	Carbonyl reductase [NADPH] 1
18.6711	19.0437	NaN	P16278	P16278;E7EQ29	BGAL_HUMAN	GLB1	Beta-galactosidase
16.2227	16.3962	NaN	P16298;Q08209	Q08209;P16298;E9PK68;E7ETC2;Q5F2F8;E9PPC8	PP2BA_HUMAN;PP2BB_HUMAN	PPP3CA;PPP3CB	Serine/threonine-protein phosphatase 2B catalytic subunit beta isoform
19.8516	20.2478	20.8743	P16401	P16401	H15_HUMAN	H1-5	Histone H1.5
